Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
30.500	0.0000	0.0000	infinite	19.984	22.508	477.39	29.077	37.392	271.61	undefined	15.191	0.017043	vapor
30.500	0.10000	0.0017514	570.98	19.956	22.469	121.24	29.177	37.673	270.88	10.435	15.198	0.017086	vapor
30.500	0.20000	0.0035194	284.14	19.929	22.430	115.39	29.278	37.962	270.16	10.439	15.206	0.017131	vapor
30.500	0.30000	0.0053046	188.52	19.901	22.390	111.93	29.380	38.257	269.43	10.443	15.214	0.017176	vapor
30.500	0.40000	0.0071072	140.70	19.873	22.350	109.44	29.483	38.559	268.69	10.447	15.223	0.017223	vapor
30.500	0.50000	0.0089277	112.01	19.844	22.309	107.49	29.587	38.868	267.95	10.451	15.233	0.017272	vapor
30.500	0.60000	0.010767	92.879	19.816	22.268	105.88	29.693	39.185	267.21	10.455	15.243	0.017321	vapor
30.500	0.70000	0.012624	79.211	19.787	22.227	104.50	29.800	39.510	266.46	10.459	15.253	0.017372	vapor
30.500	0.80000	0.014502	68.958	19.758	22.186	103.30	29.908	39.843	265.71	10.463	15.265	0.017425	vapor
30.500	0.90000	0.016399	60.981	19.729	22.144	102.22	30.017	40.185	264.95	10.467	15.277	0.017479	vapor
30.500	1.0000	0.018316	54.597	19.699	22.102	101.24	30.128	40.537	264.19	10.470	15.289	0.017535	vapor
30.500	1.1000	0.020254	49.372	19.669	22.059	100.35	30.240	40.897	263.42	10.474	15.303	0.017593	vapor
30.500	1.2000	0.022214	45.016	19.639	22.016	99.527	30.353	41.267	262.65	10.477	15.317	0.017652	vapor
30.500	1.3000	0.024196	41.329	19.608	21.973	98.759	30.468	41.648	261.87	10.481	15.331	0.017713	vapor
