Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
60.000	0.0000	0.0000	infinite	20.861	23.631	480.14	30.375	38.690	283.14	undefined	16.602	0.019475	vapor
60.000	0.10000	0.0015943	627.24	20.838	23.599	124.79	30.442	38.893	282.60	8.2731	16.609	0.019514	vapor
60.000	0.20000	0.0031997	312.53	20.815	23.566	118.96	30.509	39.100	282.05	8.2740	16.616	0.019554	vapor
60.000	0.30000	0.0048163	207.63	20.793	23.534	115.52	30.577	39.310	281.51	8.2747	16.624	0.019595	vapor
60.000	0.40000	0.0064443	155.18	20.770	23.501	113.06	30.645	39.524	280.96	8.2753	16.631	0.019637	vapor
60.000	0.50000	0.0080840	123.70	20.746	23.468	111.14	30.714	39.741	280.41	8.2757	16.640	0.019680	vapor
60.000	0.60000	0.0097355	102.72	20.723	23.435	109.55	30.783	39.962	279.86	8.2761	16.649	0.019724	vapor
60.000	0.70000	0.011399	87.727	20.700	23.402	108.20	30.853	40.187	279.31	8.2763	16.658	0.019769	vapor
60.000	0.80000	0.013075	76.484	20.676	23.369	107.02	30.923	40.416	278.76	8.2764	16.668	0.019815	vapor
60.000	0.90000	0.014763	67.738	20.652	23.335	105.96	30.994	40.649	278.21	8.2764	16.678	0.019861	vapor
60.000	1.0000	0.016464	60.740	20.628	23.302	105.02	31.065	40.887	277.66	8.2762	16.689	0.019909	vapor
60.000	1.1000	0.018177	55.014	20.604	23.268	104.15	31.137	41.128	277.10	8.2759	16.700	0.019958	vapor
60.000	1.2000	0.019904	50.241	20.580	23.234	103.35	31.210	41.374	276.55	8.2754	16.712	0.020008	vapor
60.000	1.3000	0.021644	46.202	20.556	23.199	102.61	31.283	41.624	275.99	8.2748	16.724	0.020059	vapor
60.000	1.4000	0.023398	42.739	20.531	23.165	101.92	31.356	41.879	275.44	8.2740	16.737	0.020112	vapor
60.000	1.5000	0.025165	39.737	20.507	23.130	101.28	31.430	42.139	274.88	8.2731	16.750	0.020165	vapor
60.000	1.6000	0.026947	37.110	20.482	23.095	100.66	31.505	42.403	274.32	8.2720	16.764	0.020220	vapor
60.000	1.7000	0.028742	34.792	20.457	23.060	100.08	31.580	42.673	273.76	8.2708	16.779	0.020276	vapor
60.000	1.8000	0.030553	32.730	20.432	23.024	99.531	31.655	42.948	273.20	8.2693	16.794	0.020333	vapor
60.000	1.9000	0.032378	30.885	20.406	22.989	99.004	31.732	43.228	272.63	8.2677	16.810	0.020391	vapor
60.000	2.0000	0.034219	29.224	20.381	22.953	98.499	31.809	43.514	272.07	8.2659	16.826	0.020451	vapor
60.000	2.1000	0.036074	27.721	20.355	22.917	98.015	31.886	43.805	271.51	8.2639	16.843	0.020513	vapor
60.000	2.2000	0.037946	26.353	20.329	22.880	97.549	31.964	44.103	270.94	8.2617	16.860	0.020575	vapor
60.000	2.3000	0.039834	25.104	20.303	22.844	97.100	32.043	44.406	270.37	8.2594	16.879	0.020640	vapor
60.000	2.4000	0.041737	23.959	20.276	22.807	96.665	32.123	44.715	269.81	8.2568	16.898	0.020705	vapor
60.000	2.5000	0.043658	22.905	20.250	22.770	96.245	32.203	45.031	269.24	8.2539	16.917	0.020773	vapor
60.000	2.6000	0.045596	21.932	20.223	22.733	95.837	32.283	45.354	268.67	8.2509	16.938	0.020841	vapor
60.000	2.7000	0.047551	21.030	20.196	22.695	95.440	32.365	45.683	268.10	8.2476	16.959	0.020912	vapor
60.000	2.8000	0.049524	20.192	20.169	22.657	95.054	32.447	46.020	267.52	8.2441	16.980	0.020984	vapor
60.000	2.9000	0.051514	19.412	20.142	22.619	94.679	32.530	46.363	266.95	8.2404	17.003	0.021058	vapor
60.000	3.0000	0.053524	18.683	20.114	22.581	94.312	32.613	46.714	266.38	8.2364	17.026	0.021134	vapor
60.000	3.1000	0.055552	18.001	20.087	22.542	93.954	32.697	47.073	265.80	8.2321	17.051	0.021212	vapor
