,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],sample volume std [mL],drop volume (fit) [uL],drop volume (fit) std [uL],sample volume (fit) [mL],sample volume (fit) std [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume (fit) [mL/g],specific volume error [mL/g],specific volume error (stat) [mL/g],specific volume error (sys) [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,0,0.2606,0.3192106514513574,-7e-05,1e-05,7.9667224999999995,1.089724735854102e-05,27.68832,1e-05,0.0,0.0,1e-05,0.0,,,,,,,,,,,,,-2.5642857142089374e-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
1,500,500.046,0.0,-0.00865,1e-05,7.942094,1e-05,27.62483,1e-05,0.0028691085398610122,0.0,1e-05,0.01035316604605343,0.010189201705396684,2.51128983851816e-05,24.372,0.09303762679690504,3.5664000000000002,0.01366162508635043,0.6752755696873345,0.008060849087792019,3.594753953808802,0.01366162508635043,0.68064421378534,0.008118359154329517,-0.016084932432431583,0.026274134137828267,0.010189201705396684,2.51128983851816e-05,0.014670668442453473,0.00020742123370281684,0.9722787198259789,0.9800086283923839,0.011607981398878225,0.00372472783667818,0.010994163665298855,3.789183443984389e-06,4.332942088143351e-07,5.372854237939084e-06,6.097437075345912e-07,5082.202302510747
2,1000,994.9289999999999,1.1368683772161603e-13,-0.017480000000000002,1e-05,7.9168025,1e-05,27.558970000000002,1e-05,0.00037142123576224765,0.010189201705396684,2.51128983851816e-05,0.021414842123373783,0.021244916372951984,2.906161566370053e-05,23.288,0.10703270528207738,3.6242000000000005,0.005979966555090202,0.6862196387564037,0.007840449778622634,3.6470880597288047,0.005979966555090202,0.6905533499420267,0.007888935412440592,-0.03256964285714236,0.053814559230094344,0.021244916372951984,2.906161566370053e-05,0.030109669387370017,0.0004102981041298721,0.9725548497042558,0.9786968654565787,0.01111916516089512,0.001605235274684331,0.011002683926577776,4.752297426799954e-06,5.346373285068224e-07,6.895981716695457e-06,7.776636290258709e-07,4089.0753706449373
3,1500,1489.9723,0.30674225336593375,-0.026789999999999998,1e-05,7.890075,1e-05,27.489440000000002,1e-05,0.0006418927518199333,0.021244916372951984,2.906161566370053e-05,0.033399312139731185,0.03319068475884493,3.920563246299799e-05,22.056,0.06681317235396005,3.7030000000000003,0.004147288270665366,0.7011399266913974,0.007965747213709618,3.7079522526771735,0.004147288270665366,0.7020776048115784,0.007976296845514173,-0.049989444444443726,0.08318012920328866,0.03319068475884493,3.920563246299799e-05,0.04625684194626334,0.000626302798077975,0.9771572658661628,0.9784640791758861,0.011118451296181688,0.0010954564502775003,0.011064354223862758,6.707490881942252e-06,7.547224221686397e-07,7.77455103762313e-06,8.758513854529538e-07,3786.4219590513926
4,2000,1982.3343,0.05762126343644596,-0.03663,1e-05,7.861794999999999,1e-05,27.415975,1e-05,0.0012143996080222492,0.03319068475884493,3.920563246299799e-05,0.04627710748078403,0.046120822921351154,2.929117787421936e-05,20.614,0.05782732917920342,3.7933999999999997,0.025765092664300757,0.7182566021904256,0.00947318926221347,3.7769322502697444,0.025765092664300757,0.715138536611532,0.009442988332490089,-0.06842972222222227,0.11455054514357342,0.046120822921351154,2.929117787421936e-05,0.06313938684074748,0.0009107097842905842,0.9832929810024641,0.9790243505594145,0.012999547255760954,0.006686122662420598,0.011148273076931146,8.362469964448878e-06,9.471914972857212e-07,8.386054136150099e-06,9.512559103076607e-07,3683.8040668851986
5,2500,2472.1965000000005,0.0572874331768941,-0.04716,1e-05,7.831662,1e-05,27.33788,1e-05,0.0015257140925527943,0.046120822921351154,2.929117787421936e-05,0.060136763673689315,0.059957916218928445,2.9073049668351647e-05,19.438,0.043543082114154405,3.8689999999999998,0.01887855926706272,0.7325709901077547,0.009020743696461525,3.853920519586177,0.01887855926706272,0.7297157846549079,0.008991114906810182,-0.08802087837837778,0.14797879459730623,0.059957916218928445,2.9073049668351647e-05,0.08055638408921564,0.00112833072567545,0.984244846606378,0.9804087388558465,0.012170214589767775,0.004811567279197644,0.011178682546648822,8.81237276701346e-06,9.940849504960714e-07,8.34810613415626e-06,9.432830372969211e-07,3849.51842401567
6,3000,2959.6558,0.07097577051358625,-0.058289999999999995,1e-05,7.799462,1.166190378955375e-05,27.25443,1e-05,0.0014690168540308912,0.059957916218928445,2.9073049668351647e-05,0.0750101795204817,0.07466485839475896,2.6560168336640708e-05,18.169999999999998,0.09165151389911687,3.928,0.014953260514015083,0.7437422716834482,0.008872477759104961,3.9388071190498595,0.014953260514015083,0.7457885321907027,0.008894405893097014,-0.1090806081081072,0.18374546650286616,0.07466485839475896,2.6560168336640708e-05,0.09837209521758508,0.0013645311960348563,0.9798918412269144,0.9825878208053577,0.011764977797075055,0.0037409505088807572,0.01115437097535194,8.84201886138922e-06,9.9565439594976e-07,8.341014185750351e-06,9.412054146943444e-07,3971.1930829602
7,3500,3445.9158,0.38868002264082013,-0.070305,1e-05,7.764620000000001,1e-05,27.164450000000002,1e-05,0.002722241784812458,0.07466485839475896,2.6560168336640708e-05,0.09155426329953227,0.09133729727935871,3.997889362455893e-05,16.701999999999998,0.06615134163416547,4.0378,0.014076931483814347,0.764532216039569,0.009045268891984625,4.031710058828459,0.014076931483814347,0.7633791237072521,0.009032811921423415,-0.1319009285714279,0.22323822585078662,0.09133729727935871,3.997889362455893e-05,0.117751731612448,0.0016364862769280477,0.9856323210091981,0.9841457583137412,0.011770267530401113,0.003450890285487033,0.011253024214616528,1.0973732287462483e-05,1.2354430908534332e-06,9.928020420265997e-06,1.1194188878194358e-06,3525.525421413404
8,4000,3930.2006,0.26380871858220223,-0.08333,1e-05,7.72649,1.581138830080505e-05,27.066185,3.500000000045134e-05,0.0021817739071584284,0.09133729727935871,3.997889362455893e-05,0.1090526166317506,0.10927573049114761,5.445414113368933e-05,15.246,0.03929376540877715,4.1274,0.014691494137765665,0.7814974165341813,0.00926300801287041,4.132400694510773,0.014691494137765665,0.7824442668130605,0.00927321936003454,-0.15697722222222185,0.26625295271336946,0.10927573049114761,5.445414113368933e-05,0.13769357386685468,0.001930777476191392,0.9847307518939221,0.9859238365635896,0.011822057734035973,0.0035261828181725884,0.011283930334759435,1.1790292327385254e-05,1.3284871326924223e-06,1.2255008040579418e-05,1.3832610725013814e-06,2984.2583938164103
9,4500,4415.434,0.3191338277273418,-0.097805,1e-05,7.683785,1.1180339887274289e-05,26.95731,1.000000000139778e-05,0.003238569989720065,0.10927573049114761,5.445414113368933e-05,0.12939622761872094,0.12916837244111123,5.221902014993743e-05,13.762,0.017204650534084886,4.2252,0.017837040113202716,0.8000152358240594,0.009654790900294037,4.24146096925561,0.017837040113202716,0.8030941488113156,0.009687408892924503,-0.18528321428571365,0.3144515867268249,0.12916837244111123,5.221902014993743e-05,0.15877948041637294,0.002273114520089351,0.9834141366706332,0.9871988727877243,0.012069916236985882,0.004185892142680229,0.011320829692990851,1.2959265651683625e-05,1.4614297097981894e-06,1.1218854387981801e-05,1.264490648391517e-06,3416.197227799282
