,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_infty (extrap) [g],M_infty (final) [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume error [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (exp) [cm^2/s],diffusion time constant [s]
15,3850,3863.382,0.422174372,-0.07491,1.00E-05,7.74404,1.79E-05,27.15369,1.00E-05,0.065633637,0.066187291,0.054100004,0.0542294,17.924,0.143749783,4.3148,0.016874833,0.77141463,-0.1636575,0.217887652,0.054230152,0.072673067,0.001643776,1.033761937,0.012164127,0.010021609,1.70E-05,2097.417597
16,3100,3122.639,0.079644209,-0.060425,1.00E-05,7.7952925,1.00E-05,27.27309,1.00E-05,0.054954501,0.0542294,0.042234791,0.042398317,19.415,0.161879585,4.2239,0.014480677,0.755163218,-0.12689,0.169304791,0.042414791,0.05775392,0.0012794,1.028264781,0.011887141,1.97E-05,1.26E-05,2714.504864
0,45,45.1745,1,5.63332,1.00E-05,14.02672,0.000154919,,,,0,,0,,,4.144833831,,1.143993963,0.002436647,0.002452273,,,,,,,,
1,1330,1333.3333,1,5.61248,1.00E-05,13.94631037,0.004625517,,,,0,,0.033747887,,,4.242064752,0.014317666,1.170830162,-0.057132988,0.076422104,0.033747887,0.029639668,0.00410588,1.028301922,0.01721199,,,
2,3500,3496.9199,1,5.57332,1.00E-05,13.80313065,0.008144945,,,,0.033747887,,0.085762341,,,4.449357152,0.014586143,1.228043856,-0.161152708,0.222998057,0.085762341,0.072031671,0.007051501,1.031432334,0.018413576,,,
3,5500,5493.8272,1,5.52911,1.00E-05,13.64435064,0.007783108,,,,0.085762341,,0,,,4.689610801,,1.294355012,-0.275722712,0.395375399,,,,,,,,
4,6200,6156.305126,12.54758295,5.51185,1.00E-05,13.53965069,0.019299747,,,,0,,0.154231031,,,4.77969146,0.014079773,1.319217705,-0.36316266,0.464122599,0.154231031,0.122494186,0.0158475,1.047756069,0.025091593,,,
5,6600,6605.547167,7.2479977,5.4991,1.00E-05,13.54422259,0.002670231,,,,0.154231031,,0.175188179,,,4.843718701,0.010333118,1.33688953,-0.345840759,0.515025261,0.175188179,0.136860875,0.004242248,1.044407631,0.017428095,,,
6,7200,7208.653869,4.229919551,5.48156,1.00E-05,13.47228408,0.004810268,,,,0.175188179,,0.195561169,,,4.933413111,0.011823517,1.361645616,-0.400239269,0.589921204,0.195561169,0.150383231,0.005625077,1.047082446,0.018072424,,,
7,7850,7877.019563,2.427816852,5.4608,1.00E-05,13.39030439,0.000394638,,,,0.195561169,,0.221766294,,,5.037817833,0.009691692,1.390461818,-0.46145896,0.683375662,0.221766294,0.167165919,0.004817391,1.048120628,0.017712054,,,
8,6700,6711.565083,4.122835999,5.49653,1.00E-05,13.54080856,0.001622398,,,,0.221766294,,0.187953053,,,4.859175374,0.00979932,1.341155645,-0.34668479,0.527626474,0.187953053,0.145383285,0.003934903,1.037395299,0.017203687,,,
9,6300,6279.25641,11.24155571,5.50815,1.00E-05,13.59599555,0.002880206,,,,0.187953053,,0.175979815,,,4.796978549,0.014913976,1.323989024,-0.303117801,0.477678232,0.175979815,0.137394348,0.00414298,1.033690192,0.017374822,,,
10,5000,5007.853684,1.361204413,5.54037,1.00E-05,13.72014222,0.004418022,,,,0.175979815,,0.134241388,,,4.626817422,0.013846139,1.277023739,-0.211191134,0.349105299,0.134241388,0.108337909,0.004375922,1.030606756,0.017345349,,,
11,4000,4010.340275,1,5.56218,1.00E-05,13.80298931,0.00611804,,,,0.134241388,,0.102283513,,,4.506642474,0.015348688,1.243854879,-0.150154041,0.263191917,0.102283513,0.08473203,0.005436238,1.030413855,0.017763507,,,
12,2500,2494.910035,3.06418982,5.59147,1.00E-05,13.9093615,0.008010832,,,,0.102283513,,0.063808115,,,4.346500109,0.012521271,1.19965482,-0.073071849,0.151024209,0.063808115,0.054599118,0.006956322,1.026516697,0.0181606,,,
13,1000,1011.962032,1,5.61661,1.00E-05,13.99381234,0.006382487,,,,0.063808115,,0.031801447,,,4.215977619,0.009379884,1.163629988,-0.013761014,0.057189286,0.031801447,0.027978002,0.005634814,1.023728303,0.017415627,,,
