,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],sample volume std [mL],drop volume (fit) [uL],drop volume (fit) std [uL],sample volume (fit) [mL],sample volume (fit) std [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume (fit) [mL/g],specific volume error [mL/g],specific volume error (stat) [mL/g],specific volume error (sys) [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,0,1.1536,1.27671110279499,0.00105,1e-05,8.019832,1e-05,27.741429999999998,1e-05,0.0013023542988541594,0.0,1e-05,-0.00016988296054233973,-9.90090142507012e-06,4.251553098756897e-05,29.135999999999996,0.19734234213670368,4.6799,0.010280564186852805,0.7197670871225702,0.007946151671431331,4.692416633328954,0.010280564186852805,0.7216921412288038,0.007966563670492697,-2.8756756755927342e-05,1.8855855330857222e-05,-9.90090142507012e-06,4.251553098756897e-05,-1.3564125492616506e-05,-3.959929958169563e-05,0.9860729519500733,0.9887102547931166,0.010886226735425341,0.002166422138550692,0.010668483849764545,0.48271811046791485,4.259353058673189,9.713238987534645e-06,1.6541940000920638e-06,3193.852271133212
1,50,49.879900000000006,0.0481465471243779,0.00025,1e-05,8.01667,1e-05,27.734535,1e-05,6.356401389306456e-08,-9.90090142507012e-06,4.251553098756897e-05,0.0001793040486095708,0.00019895702089122542,2.1379434374688653e-05,,,4.6934,0.007863841300535123,0.7218433827007138,0.007902812749450256,4.698005660523381,0.007863841300535123,0.7225517317806491,0.007910386275755025,-0.0023989444444436872,0.0025979014653349126,0.00019895702089122542,2.1379434374688653e-05,0.0002724909503800863,3.3546129263290664e-05,0.9886345729172942,0.9896047257328511,0.010823736836465153,0.0016565827970845505,0.010696214869824567,1.097698286109167e-05,5.167266423225065e-06,2.1057768091973937e-05,7.917554494160452e-06,1481.728218698787
2,100,101.79740000000001,0.029883774861958225,-0.000635,1e-05,8.0139,1e-05,27.7278,1e-05,0.00016152168770732693,0.00019895702089122542,2.1379434374688653e-05,0.0013288780206451214,0.0010245141925617623,3.1268915662576496e-05,28.691999999999997,0.13753544997563394,4.7076,0.00856971411425123,0.7240273380495761,0.007943454011541626,4.704061486675882,0.00856971411425123,0.7234831158593488,0.007937647679627808,-0.004297833333332631,0.005322347525894393,0.0010245141925617623,3.1268915662576496e-05,0.0014015868762991246,4.774395519026213e-05,0.990505766010557,0.9897612427182968,0.01086716387838376,0.0018032239985300087,0.010716512211105544,1.1429886635891366e-05,1.6651725229140292e-06,6.7189941678151854e-06,2.2129708968443162e-06,4671.975929894679
3,200,201.98,0.0,-0.00235,1.0000000000000026e-05,8.009017499999999,1e-05,27.7152,1e-05,0.0003113804483543051,0.0010245141925617623,3.1268915662576496e-05,0.0034578303551608073,0.003165219160967317,2.1493556779372176e-05,28.340999999999998,0.11282287002199491,4.728300000000002,0.008637708029332808,0.7272109912693967,0.007979157385416541,4.716040951197899,0.008637708029332808,0.7253255535790223,0.007959044032610234,-0.007457714285714648,0.010622933446681965,0.003165219160967317,2.1493556779372176e-05,0.004317534503025059,8.249407870855285e-05,0.991956128821468,0.989384287230882,0.010884337687467395,0.0018122346325948973,0.010732409446682824,6.37226098855192e-06,7.519906623052754e-07,5.933778723203374e-06,1.9143349767041e-06,5336.843320063239
4,550,549.5884,0.04279999999998836,-0.00836,1e-05,7.99175,1e-05,27.67057,1e-05,0.0008791011438763479,0.003165219160967317,2.1493556779372176e-05,0.011051125300846936,0.010738075459576203,2.4326931200190112e-05,27.287,0.19266810841444362,4.7665,0.006530696746902488,0.7330861387571809,0.007994699252048255,4.760608290828553,0.006530696746902488,0.7321799958164116,0.007984973350324841,-0.01871505555555543,0.029453131015131633,0.010738075459576203,2.4326931200190112e-05,0.014497573565332315,0.0002153902332154648,0.9897462786853143,0.9885228868406617,0.010795837441023571,0.001356311861589271,0.010710299911165821,5.421854108353025e-06,6.093447769391581e-07,5.875736693128736e-06,6.77000977724127e-07,5476.998492507109
5,1050,1044.1794000000002,0.0519291825470007,-0.01729,1e-05,7.9660079999999995,1e-05,27.6042,1e-05,0.0015521504741146425,0.010738075459576203,2.4326931200190112e-05,0.022277801210663126,0.02197908617574243,3.0504996145690205e-05,25.712,0.2961013340057752,4.8100000000000005,0.01340895223348931,0.7397764245089772,0.008265158149251398,4.832052959113093,0.01340895223348931,0.7431681623972364,0.008300698183788572,-0.0355333513513511,0.05751243752709353,0.02197908617574243,3.0504996145690205e-05,0.02923054458426969,0.00041711369005334475,0.9838474441611238,0.9883582024687343,0.010999710045717856,0.0027435317972593,0.010652072773281897,5.9551524040112205e-06,6.691531033434536e-07,6.447802404014925e-06,7.317226465912637e-07,5082.579556592841
6,1500,1532.7348000000002,0.1213439738924155,-0.026660000000000003,1e-05,7.939573999999999,1e-05,27.53525,1e-05,0.0016784280340362018,0.02197908617574243,3.0504996145690205e-05,0.03445509507850824,0.0345623301851973,1.4911044572113981e-05,24.181000000000004,0.12988071450373254,4.9104,0.009759098319004523,0.7552179116234681,0.008307514768017379,4.911888122751047,0.009759098319004523,0.755446784415152,0.008309950233643537,-0.052569027027027405,0.0871313572122247,0.0345623301851973,1.4911044572113981e-05,0.04520876170156246,0.0006212992290253183,0.9878519884622798,0.9881513622441912,0.010883821400592216,0.0019646692336437936,0.010705028868824344,6.533479572487731e-06,7.33116439250663e-07,6.93129290574907e-06,7.78810815755287e-07,4927.484226296241
7,2000,2022.2732000000003,0.14325766995176986,-0.036445000000000005,1e-05,7.91067,1e-05,27.461244999999998,1.4999999999432134e-05,0.0014924164206945039,0.0345623301851973,1.4911044572113981e-05,0.04732988662724613,0.04703404448137165,3.318380180869865e-05,22.544999999999995,0.04055859958134679,4.990899999999999,0.03340493975447366,0.7675987852561027,0.009765475258320853,5.00111720840467,0.03340493975447366,0.7691701885621465,0.00977993751050145,-0.07171357142857196,0.11874761590994361,0.04703404448137165,3.318380180869865e-05,0.06053467989738876,0.0008946629921153951,0.9879300678364188,0.9899525261890857,0.012599478814024321,0.006620352293428455,0.010719972103319313,7.494863225742343e-06,8.465833364455394e-07,7.074751602766428e-06,8.046797164953813e-07,4987.148412926362
8,2500,2511.3736,0.06419999999998253,-0.04698,1e-05,7.8799125,1.0897247358693842e-05,27.38252,1e-05,0.0017889638645782158,0.04703404448137165,3.318380180869865e-05,0.06113207787468157,0.06091377426595315,2.172612457476804e-05,20.957,0.0903382532485544,5.0999,0.009974467404327971,0.7843629495537074,0.008623668498907852,5.099496627335189,0.009974467404327971,0.7843009109699822,0.008623008001862895,-0.09192922222222216,0.15284299648817531,0.06091377426595315,2.172612457476804e-05,0.07702253020173293,0.0010676727237381946,0.9917891265011968,0.9917106817036738,0.010955170193079466,0.0019437198303210632,0.010781359245501165,8.7913758733099e-06,9.86561850042076e-07,8.312098398527713e-06,9.381896679996549e-07,4432.190285317131
9,3000,2999.9291000000003,0.2754619574459335,-0.058210000000000005,1e-05,7.84665,2.9154759473884375e-05,27.298054999999998,1e-05,0.001918318287720781,0.06091377426595315,2.172612457476804e-05,0.07577572794832926,0.07559732478980016,2.1844266369482874e-05,19.349,0.022561028345356955,5.1957,0.012546314199796012,0.799096958174905,0.00885825377775573,5.206977068241736,0.012546314199796012,0.8008313675767377,0.008876568900188182,-0.11396142857142841,0.18955875336122857,0.07559732478980016,2.1844266369482874e-05,0.09384675275410924,0.0013154167876759891,0.9920014348248384,0.9941545360193684,0.011073020497440543,0.002403146863093666,0.010809101169437795,9.585125382912019e-06,1.0753278595215936e-06,9.313619420812875e-06,1.0503950825276269e-06,4105.588315731548
