Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1333,0,1,3.701,3.701,9.402,2.0524,2.0295,255,214,0,255,105
1.1667,0.0334,2,3.69,3.69,9.3793,2.0526,2.038,255,204,0,255,105
301.1667,300.0334,3,3.684,3.684,9.37,2.0514,2.038,255,204,0,255,105
601.1667,600.0334,4,3.688,3.688,9.3761,2.0523,2.038,255,218,0,255,105
901.1667,900.0334,5,3.68,3.68,9.3609,2.0518,2.038,255,227,0,255,105
1201.1667,1200.0334,6,3.672,3.672,9.3465,2.0505,2.038,255,223,0,255,105
1501.1667,1500.0334,7,3.757,3.757,9.5091,2.0533,2.038,255,205,0,255,105
1801.1667,1800.0334,8,3.763,3.763,9.5203,2.0537,2.0466,255,215,0,255,105
2101.1667,2100.0334,9,3.769,3.769,9.5321,2.0534,2.0466,255,212,0,255,105
2401.1667,2400.0334,10,3.744,3.744,9.4829,2.0534,2.0466,255,203,0,255,105
2701.1667,2700.0334,11,3.767,3.767,9.5283,2.054,2.0466,255,231,0,255,105
3001.1667,3000.0334,12,3.774,3.774,9.5399,2.0548,2.0295,255,204,0,255,105
3301.1667,3300.0334,13,3.765,3.765,9.524,2.0533,2.0209,255,202,0,255,105
3601.1667,3600.0334,14,3.734,3.734,9.4652,2.0517,2.0295,255,205,0,255,105
3901.1667,3900.0334,15,3.732,3.732,9.4579,2.0548,2.0295,255,222,0,255,105
4201.1667,4200.0334,16,3.739,3.739,9.4705,2.0551,2.0295,255,204,0,255,105
4501.1667,4500.0334,17,3.748,3.748,9.4887,2.0545,2.0295,255,204,0,255,105
4801.1667,4800.0334,18,3.752,3.752,9.4965,2.0547,2.0295,255,203,0,255,105
5101.1667,5100.0334,19,3.738,3.738,9.4699,2.0532,2.0466,255,202,0,255,105
5401.1667,5400.0334,20,3.739,3.739,9.4714,2.0542,2.0466,255,203,0,255,105
5701.1667,5700.0334,21,3.734,3.734,9.461,2.0554,2.0466,255,221,0,255,105
6001.1667,6000.0334,22,3.748,3.748,9.4899,2.0544,2.0466,255,205,0,255,105
6301.1667,6300.0334,23,3.728,3.728,9.4509,2.0546,2.0466,255,206,0,255,105
6601.1667,6600.0334,24,3.741,3.741,9.4761,2.0541,2.0466,255,204,0,255,105
6901.1667,6900.0334,25,3.759,3.759,9.512,2.0533,2.0466,255,220,0,255,105
7201.1667,7200.0334,26,3.764,3.764,9.521,2.0542,2.0466,255,202,0,255,105
7501.1667,7500.0334,27,3.749,3.749,9.4905,2.0545,2.038,255,204,0,255,105
7801.1667,7800.0334,28,3.748,3.748,9.4897,2.0542,2.038,255,205,0,255,105
8101.1667,8100.0334,29,3.731,3.731,9.4567,2.0537,2.038,255,224,0,255,105
8401.1667,8400.0334,30,3.746,3.746,9.4849,2.0539,2.038,255,211,0,255,105
8701.1667,8700.0334,31,3.743,3.743,9.478,2.0549,2.038,255,220,0,255,105
9001.1667,9000.0334,32,3.741,3.741,9.4745,2.0541,2.038,255,205,0,255,105
9301.1667,9300.0334,33,3.746,3.746,9.4871,2.0531,2.038,255,206,0,255,105
9601.1667,9600.0334,34,3.754,3.754,9.5009,2.0536,2.038,255,202,0,255,105
9901.1667,9900.0334,35,3.751,3.751,9.4957,2.0531,2.038,255,211,0,255,105
10201.1667,10200.0334,36,3.765,3.765,9.5215,2.0549,2.038,255,221,0,255,105
10501.1667,10500.0334,37,3.775,3.775,9.5432,2.0537,2.038,255,205,0,255,105
10801.1667,10800.0334,38,3.764,3.764,9.5211,2.0541,2.038,255,217,0,255,105
11101.1667,11100.0334,39,3.773,3.773,9.5395,2.0532,2.038,255,216,0,255,105
11401.1667,11400.0334,40,3.77,3.77,9.5339,2.0531,2.038,255,207,0,255,105
11701.1667,11700.0334,41,3.775,3.775,9.5423,2.0541,2.038,255,214,0,255,105
12001.1667,12000.0334,42,3.779,3.779,9.5509,2.0543,2.038,255,205,0,255,105
12301.1667,12300.0334,43,3.784,3.784,9.56,2.0542,2.038,255,214,0,255,105
12601.1667,12600.0334,44,3.773,3.773,9.5388,2.0549,2.038,255,206,0,255,105
12901.1667,12900.0334,45,3.833,3.833,9.654,2.0555,2.0466,255,205,0,255,105
13201.1667,13200.0334,46,3.825,3.825,9.6372,2.0563,2.0466,255,223,0,255,105
13501.1667,13500.0334,47,3.841,3.841,9.6682,2.0561,2.0466,255,204,0,255,105
13801.1667,13800.0334,48,3.848,3.848,9.6807,2.0569,2.0466,255,228,0,255,105
14101.1667,14100.0334,49,3.821,3.821,9.6306,2.0552,2.0209,255,212,0,255,105
14401.1667,14400.0334,50,3.842,3.842,9.6687,2.0568,2.0209,255,204,0,255,105
14701.1667,14700.0334,51,3.842,3.842,9.6682,2.0571,2.0209,255,221,0,255,105
15001.1667,15000.0334,52,3.854,3.854,9.6947,2.0571,2.0209,255,203,0,255,105
15301.1667,15300.0334,53,3.833,3.833,9.65,2.057,2.0466,255,202,0,255,105
15601.1667,15600.0334,54,3.836,3.836,9.6573,2.0571,2.0466,255,211,0,255,105
15901.1667,15900.0334,55,3.848,3.848,9.6792,2.0575,2.0466,255,219,0,255,105
16201.1667,16200.0334,56,3.864,3.864,9.7112,2.0579,2.0466,255,204,0,255,105
16501.1667,16500.0334,57,3.842,3.842,9.6694,2.057,2.0552,255,204,0,255,105
16801.1667,16800.0334,58,3.834,3.834,9.6532,2.0576,2.0552,255,206,0,255,105
17101.1667,17100.0334,59,3.843,3.843,9.671,2.0573,2.0552,255,226,0,255,105
17401.1667,17400.0334,60,3.852,3.852,9.6876,2.0578,2.0552,255,204,0,255,105
