,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],,,,,,,
36600.0334,373620,0.095505667,0.972466006,,,,,,,
36900.0334,373920,0.095505547,0.972466006,,,,,,,
37200.0334,374160,0.095505427,0.972466006,,,,,,,
37500.0334,374520,0.095505248,0.972466006,,,,,,,
37800.0334,374760,0.095505128,0.972466006,,,,,,,
38100.0334,375060,0.095505007,0.972466006,,,,,,,
38400.0334,375420,0.095504826,0.972466006,,,,,,,
38700.0334,375660,0.095504707,0.972466006,,,,,,,
39000.0334,375900,0.095504587,0.972466006,,,,,,,
39300.0334,376320,0.095504407,0.972466006,,,,,,,
39600.0334,376560,0.095504287,0.972466006,,,,,,,
39900.0334,376920,0.095504108,0.972466006,,,,,,,
40200.0334,377220,0.095503988,0.972466006,,,,,,,
40500.0334,377460,0.095503866,0.972466006,,,,,,,
40800.0334,377820,0.095503688,0.972466006,,,,,,,
41100.0334,378060,0.095503568,0.972466006,,,,,,,
41400.0334,378360,0.095503447,0.972466006,,,,,,,
41700.0334,378720,0.095503267,0.972466006,,,,,,,
42000.0334,378960,0.095503147,0.972466006,,,,,,,
42300.0334,379260,0.095503029,0.972466006,,,,,,,
42600.0334,379620,0.095502849,0.972466006,,,,,,,
42900.0334,379860,0.095502728,0.972466006,,,,,,,
43200.0334,380100,0.095502608,0.972466006,,,,,,,
43500.0334,380520,0.095502428,0.972466006,,,,,,,
43800.0334,380760,0.095502308,0.972466006,,,,,,,
44100.0334,381120,0.095502128,0.972466006,,,,,,,
44400.0334,381420,0.095502007,0.972466006,,,,,,,
44700.0334,381660,0.095501889,0.972466006,,,,,,,
45000.0334,382020,0.09550171,0.972466006,,,,,,,
45300.0334,382260,0.095501589,0.972466006,,,,,,,
45600.0334,382560,0.095501469,0.972466006,,,,,,,
45900.0334,382920,0.095501289,0.972466006,,,,,,,
46200.0334,383160,0.095501168,0.972466006,,,,,,,
46500.0334,383460,0.095501049,0.972466006,,,,,,,
46800.0334,383820,0.095500868,0.972466006,,,,,,,
47100.0334,384060,0.09550075,0.972466006,,,,,,,
47400.0334,384300,0.095500629,0.972466006,,,,,,,
47700.0334,384720,0.09550045,0.972466006,,,,,,,
48000.0334,384960,0.095500329,0.972466006,,,,,,,
48300.0334,385320,0.09550015,0.972466006,,,,,,,
48600.0334,385620,0.095500029,0.972466006,,,,,,,
48900.0334,385860,0.095499909,0.972466006,,,,,,,
49200.0334,386220,0.095499729,0.972466006,,,,,,,
49500.0334,386460,0.09549961,0.972466006,,,,,,,
49800.0334,386760,0.095484694,0.972466006,,,,,,,
50100.0334,387120,0.095405917,0.972466006,,,,,,,
50400.0334,387360,0.09549919,0.972466006,,,,,,,
50700.0334,387660,0.095499069,0.972466006,,,,,,,
51000.0334,388020,0.095390966,0.972466006,,,,,,,
51300.0334,388260,0.095404832,0.972466006,,,,,,,
51600.0334,388500,0.095498651,0.972466006,,,,,,,
51900.0334,388920,0.095390545,0.972466006,,,,,,,
52200.0334,389160,0.095390426,0.972466006,,,,,,,
52500.0334,389520,0.095390247,0.972466006,,,,,,,
52800.0334,389820,0.095390126,0.972466006,,,,,,,
53100.0334,390060,0.095390008,0.972466006,,,,,,,
53400.0334,390420,0.095389827,0.972466006,,,,,,,
53700.0334,390660,0.095389708,0.972466006,,,,,,,
54000.0334,390960,0.095389588,0.972466006,,,,,,,
54300.0334,391320,0.095389408,0.972466006,,,,,,,
54600.0334,391560,0.095389288,0.972466006,,,,,,,
54900.0334,391860,0.095389168,0.972466006,,,,,,,
55200.0334,392220,0.095388987,0.972466006,,,,,,,
55500.0334,392460,0.095388869,0.972466006,,,,,,,
55800.0334,392700,0.095388749,0.972466006,,,,,,,
56100.0334,393120,0.095388569,0.972466006,,,,,,,
56400.0334,393360,0.095388449,0.972466006,,,,,,,
56700.0334,393720,0.095388269,0.972466006,,,,,,,
57000.0334,394020,0.095388149,0.972466006,,,,,,,
57300.0334,394260,0.095388029,0.972466006,,,,,,,
57600.0334,394620,0.095387849,0.972466006,,,,,,,
