,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
0,422880,0.095266684,0.972466006,
0.0333,422880,0.095266684,0.972466006,15.2
300.0333,422880,0.095266684,0.972466006,15.43
600.0333,423960,0.111181964,0.968741912,15.02
900.0333,423960,0.111181964,0.968741912,14.21
1200.0333,424140,0.111105394,0.968741912,14.63
1500.0333,424380,0.111104944,0.968741912,14.17
1800.0333,424740,0.11102796,0.968741912,14.69
2100.0333,424980,0.110951233,0.968741912,14.63
2400.0333,425280,0.111027062,0.968741912,14.06
2700.0333,425640,0.11095011,0.968741912,14.96
3000.0333,425880,0.110873417,0.968741912,14.11
3300.0333,426120,0.110949212,0.968741912,14.07
3600.0333,426540,0.110872298,0.968741912,14.59
3900.0333,426780,0.110871848,0.968741912,14.88
4200.0333,427140,0.11094742,0.968741912,13.95
4500.0333,427440,0.110946969,0.968741912,14.07
4800.0333,427680,0.111022797,0.968741912,
5100.0333,428040,0.110945848,0.968741912,14.96
5400.0333,428280,0.1109454,0.968741912,14.88
5700.0333,428580,0.111021226,0.968741912,14.08
6000.0333,428940,0.111020553,0.968741912,14.66
6300.0333,429180,0.111096413,0.968741912,14.91
6600.0333,429480,0.111095965,0.968741912,14.78
6900.0333,429840,0.111018982,0.968741912,14.76
7200.0333,430080,0.111094841,0.968741912,14.59
7500.0333,430440,0.111017862,0.968741912,14.76
7800.0333,430740,0.111017412,0.968741912,14.83
8100.0333,430980,0.111016964,0.968741912,14.74
8400.0333,431340,0.111016291,0.968741912,
8700.0333,431640,0.111015841,0.968741912,14.78
9000.0333,431880,0.110939119,0.968741912,14.6
9300.0333,432240,0.11101472,0.968741912,14.88
9600.0333,432480,0.110976789,0.968741912,14.08
9900.0333,432780,0.110937551,0.968741912,14.83
10200.0333,433140,0.110936876,0.968741912,14.3
10500.0333,433380,0.110936429,0.968741912,14.25
10800.0333,433620,0.110935982,0.968741912,14.28
11100.0333,433800,0.110858871,0.968741912,14.39
11400.0333,433800,0.110858871,0.968741912,14.24
11700.0333,435240,0.13340565,0.963353179,13.5
12000.0333,435240,0.13340565,0.963353179,12.82
12300.0333,435240,0.13340565,0.963353179,12.71
12600.0333,435480,0.133572208,0.963353179,12.81
12900.0333,435780,0.133297949,0.963353179,12.82
13200.0333,436140,0.132369051,0.963353179,12.78
13500.0333,436380,0.132323659,0.963353179,12.83
13800.0333,436620,0.132634263,0.963353179,12.78
14100.0333,437040,0.132425957,0.963353179,12.81
14400.0333,437280,0.132425412,0.963353179,12.8
14700.0333,437640,0.132528308,0.963353179,12.84
15000.0333,437940,0.132320388,0.963353179,12.82
15300.0333,438180,0.132319842,0.963353179,12.82
15600.0333,438540,0.132319022,0.963353179,12.83
15900.0333,438780,0.132111315,0.963353179,12.92
16200.0333,439080,0.132214325,0.963353179,12.88
16500.0333,439440,0.132140283,0.963353179,12.82
16800.0333,439680,0.131902434,0.963353179,12.83
17100.0333,439920,0.132005353,0.963353179,12.88
17400.0333,440340,0.132015078,0.963353179,12.86
17700.0333,440580,0.132003992,0.963353179,12.87
18000.0333,440940,0.132003176,0.963353179,12.91
18300.0333,441240,0.131795749,0.963353179,12.95
18600.0333,441480,0.131691827,0.963353179,12.89
18900.0333,441840,0.131484369,0.963353179,12.89
19200.0333,442080,0.131380556,0.963353179,12.94
