Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
12720.0333,27120,0.002478717,0.983679693,24.85
12840.0333,27240,0.002478711,0.983679693,24.97
12960.0333,27360,0.002478705,0.983679693,25.08
13080.0333,27480,0.0024787,0.983679693,24.99
13200.0333,27600,0.002478693,0.983679693,24.9
13320.0333,27720,0.002478688,0.983679693,24.86
13440.0333,27900,0.002478682,0.983679693,25.23
13560.0333,28020,0.002478676,0.983679693,25
13680.0333,28140,0.002478671,0.983679693,24.69
13800.0333,28260,0.002478667,0.983679693,25.19
13920.0333,28380,0.002478661,0.983679693,25.19
14040.0333,28500,0.002478655,0.983679693,25.16
14160.0333,28620,0.002478649,0.983679693,25.11
14280.0333,28740,0.002478643,0.983679693,24.81
14400.0333,28740,0.002478643,0.983679693,24.89
14520.0333,28920,0.002478638,0.983679693,25
14640.0333,29040,0.002478632,0.983679693,25
14760.0333,29160,0.002478626,0.983679693,25.01
14880.0333,29280,0.002478622,0.983679693,25.07
15000.0333,29400,0.002478616,0.983679693,24.98
15120.0333,29520,0.00247861,0.983679693,25.14
15240.0333,29640,0.002478605,0.983679693,25.05
15360.0333,29820,0.002478599,0.983679693,25.08
15480.0333,29940,0.002476659,0.983679693,25.14
15600.0333,30060,0.002467399,0.983679693,25.15
15720.0333,30180,0.002467393,0.983679693,25.08
15840.0333,30300,0.002467387,0.983679693,25.23
15960.0333,30420,0.002467381,0.983679693,24.88
16080.0333,30540,0.002467376,0.983679693,25.24
16200.0333,30660,0.002467371,0.983679693,25.13
16320.0333,30660,0.002467371,0.983679693,25.19
16440.0333,30840,0.002467365,0.983679693,24.82
16560.0333,30960,0.002467359,0.983679693,25.15
16680.0333,31080,0.002467354,0.983679693,25.3
16800.0333,31200,0.002467348,0.983679693,25.23
16920.0333,31320,0.002467343,0.983679693,24.93
17040.0333,31440,0.002467337,0.983679693,24.94
17160.0333,31560,0.00246733,0.983679693,24.95
17280.0333,31740,0.002467327,0.983679693,25.14
17400.0333,31860,0.002467321,0.983679693,24.68
17520.0333,31980,0.002467315,0.983679693,25.03
17640.0333,32100,0.002467309,0.983679693,25.13
17760.0333,32220,0.002467304,0.983679693,25.14
17880.0333,32340,0.002467298,0.983679693,25.01
18000.0333,32460,0.002467292,0.983679693,25.02
18120.0333,32460,0.002467292,0.983679693,24.95
18240.0333,32640,0.002467286,0.983679693,25.06
18360.0333,32760,0.002467281,0.983679693,24.95
18480.0333,32880,0.002467276,0.983679693,25.01
18600.0333,33000,0.002467271,0.983679693,25.15
18720.0333,33120,0.002467263,0.983679693,25.15
18840.0333,33240,0.002467259,0.983679693,25.06
18960.0333,33360,0.002467253,0.983679693,25.15
19080.0333,33480,0.002467247,0.983679693,25.16
19200.0333,33660,0.002467242,0.983679693,24.76
19320.0333,33780,0.002467236,0.983679693,25.1
19440.0333,33900,0.00246723,0.983679693,25.05
19560.0333,34020,0.002467226,0.983679693,25.13
19680.0333,34140,0.00246722,0.983679693,24.82
19800.0333,34260,0.002467214,0.983679693,25.29
19920.0333,34380,0.002467209,0.983679693,24.92
20040.0333,34380,0.002467209,0.983679693,25.26
20160.0333,34560,0.002467203,0.983679693,24.82
20280.0333,34680,0.002467197,0.983679693,24.92
20400.0333,34800,0.002467191,0.983679693,24.58
20520.0333,34920,0.002467186,0.983679693,24.76
20640.0333,35040,0.00246718,0.983679693,25.04
20760.0333,35160,0.002467176,0.983679693,25.16
20880.0333,35280,0.002467169,0.983679693,25.09
21000.0333,35400,0.002467164,0.983679693,25.1
21120.0333,35580,0.002467158,0.983679693,25.34
21240.0333,35700,0.002467152,0.983679693,24.98
21360.0333,35820,0.002467147,0.983679693,25.01
21480.0333,35940,0.002467141,0.983679693,24.99
21600.0333,36060,0.002467134,0.983679693,24.83
21720.0333,36180,0.002467131,0.983679693,25.08
21840.0333,36300,0.002467125,0.983679693,24.74
21960.0333,36300,0.002467125,0.983679693,24.73
22080.0333,36480,0.002467119,0.983679693,25.02
22200.0333,36600,0.002473228,0.983679693,24.85
22320.0333,36720,0.002478296,0.983679693,24.91
22440.0333,36840,0.002478291,0.983679693,25.07
22560.0333,36960,0.002478285,0.983679693,25.15
22680.0333,37080,0.002478281,0.983679693,25.24
22800.0333,37200,0.002478274,0.983679693,24.82
22920.0333,37380,0.002478269,0.983679693,25.05
23040.0333,37500,0.002478263,0.983679693,25.09
23160.0333,37620,0.002476659,0.983679693,25.03
23280.0333,37740,0.002467063,0.983679693,25.09
23400.0333,37860,0.002467057,0.983679693,25.09
23520.0333,37980,0.002467052,0.983679693,25.1
23640.0333,38100,0.002467046,0.983679693,25.1
23760.0333,38220,0.00246704,0.983679693,25.16
23880.0333,38220,0.00246704,0.983679693,25.16
24000.0333,38400,0.002467034,0.983679693,25.16
24120.0333,38520,0.00246703,0.983679693,25.24
24240.0333,38640,0.002467024,0.983679693,24.92
24360.0333,38760,0.002467019,0.983679693,25
24480.0333,38880,0.002467013,0.983679693,25.16
24600.0333,39000,0.002467007,0.983679693,25.08
24720.0333,39120,0.002467001,0.983679693,25.09
24840.0333,39300,0.002466995,0.983679693,25.06
24960.0333,39420,0.00246699,0.983679693,25.07
25080.0333,39540,0.002466986,0.983679693,24.92
25200.0333,39660,0.00246698,0.983679693,25.25
25320.0333,39780,0.002466973,0.983679693,25.09
25440.0333,39900,0.002466968,0.983679693,24.93
25560.0333,40020,0.002466962,0.983679693,25.21
25680.0333,40140,0.002466957,0.983679693,25.08
25800.0333,40140,0.002466957,0.983679693,25.04
25920.0333,40320,0.002466951,0.983679693,25.23
26040.0333,40440,0.002466945,0.983679693,24.78
26160.0333,40560,0.002466939,0.983679693,24.99
26280.0333,40680,0.002466935,0.983679693,24.59
26400.0333,40800,0.002466929,0.983679693,24.92
26520.0333,40920,0.002466924,0.983679693,25.1
26640.0333,41040,0.002466918,0.983679693,24.98
26760.0333,41220,0.002466912,0.983679693,25.33
26880.0333,41340,0.002466906,0.983679693,24.9
27000.0333,41460,0.0024669,0.983679693,25.21
27120.0333,41580,0.002466895,0.983679693,25.09
27240.0333,41700,0.00246689,0.983679693,24.95
27360.0333,41820,0.002466885,0.983679693,24.93
27480.0333,41940,0.002466879,0.983679693,24.81
27600.0333,41940,0.002466879,0.983679693,24.94
27720.0333,42120,0.002466873,0.983679693,24.99
27840.0333,42240,0.002466867,0.983679693,24.83
27960.0333,42360,0.002466862,0.983679693,25.03
28080.0333,42480,0.002466856,0.983679693,25.09
28200.0333,42600,0.00246685,0.983679693,25.01
28320.0333,42720,0.002466844,0.983679693,24.94
28440.0333,42840,0.002466839,0.983679693,24.82
28560.0333,42960,0.002466834,0.983679693,25.2
28680.0333,43140,0.002466829,0.983679693,24.87
28800.0333,43260,0.002466823,0.983679693,25.17
28920.0333,43380,0.002466817,0.983679693,25.03
29040.0333,43500,0.00246681,0.983679693,24.92
29160.0333,43620,0.002466805,0.983679693,24.66
29280.0333,43740,0.0024668,0.983679693,25.12
29400.0333,43860,0.002466794,0.983679693,24.96
29520.0333,43860,0.002466794,0.983679693,25.24
29640.0333,44040,0.00246679,0.983679693,25.05
29760.0333,44160,0.002466784,0.983679693,24.99
29880.0333,44280,0.002466778,0.983679693,25.09
30000.0333,44400,0.002466772,0.983679693,25.18
30120.0333,44520,0.002466767,0.983679693,25.08
30240.0333,44640,0.002468042,0.983679693,25.22
30360.0333,44760,0.002477944,0.983679693,25.19
30480.0333,44880,0.002477939,0.983679693,25.03
30600.0333,45060,0.002477934,0.983679693,25.06
30720.0333,45180,0.002477928,0.983679693,24.31
30840.0333,45300,0.002477922,0.983679693,25.17
30960.0333,45420,0.002477916,0.983679693,25.1
31080.0333,45540,0.00247791,0.983679693,25.02
31200.0333,45660,0.002477905,0.983679693,25.07
31320.0333,45780,0.002467717,0.983679693,24.89
31440.0333,45780,0.002467717,0.983679693,25.19
31560.0333,45960,0.002466705,0.983679693,25.09
31680.0333,46080,0.002466699,0.983679693,24.94
31800.0333,46200,0.002466694,0.983679693,25.06
31920.0333,46320,0.002466689,0.983679693,25.18
32040.0333,46440,0.002466683,0.983679693,25.17
32160.0333,46560,0.002466677,0.983679693,25.03
32280.0333,46680,0.002466672,0.983679693,25.04
32400.0333,46860,0.002466666,0.983679693,25.08
32520.0333,46980,0.00246666,0.983679693,25.13
32640.0333,47100,0.002466654,0.983679693,25.04
32760.0333,47220,0.002466648,0.983679693,24.86
32880.0333,47340,0.002466643,0.983679693,25.07
33000.0333,47460,0.002466638,0.983679693,25.3
33120.0333,47580,0.002466633,0.983679693,25.06
33240.0333,47700,0.002466627,0.983679693,24.77
33360.0333,47700,0.002466627,0.983679693,25.11
33480.0333,47880,0.002466621,0.983679693,25.11
33600.0333,48000,0.002466614,0.983679693,25.14
33720.0333,48120,0.00246661,0.983679693,25.08
33840.0333,48240,0.002466604,0.983679693,24.93
33960.0333,48360,0.002466598,0.983679693,24.78
34080.0333,48480,0.002466594,0.983679693,25.11
34200.0333,48600,0.002466588,0.983679693,25.12
34320.0333,48780,0.002466582,0.983679693,25.09
34440.0333,48900,0.002466577,0.983679693,25.12
34560.0333,49020,0.002466571,0.983679693,24.88
34680.0333,49140,0.002466565,0.983679693,25.17
34800.0333,49260,0.002466559,0.983679693,25.28
34920.0333,49380,0.002466553,0.983679693,24.86
35040.0333,49500,0.002466549,0.983679693,25.09
35160.0333,49620,0.002466543,0.983679693,25.15
35280.0333,49620,0.002466543,0.983679693,24.66
35400.0333,49800,0.002466538,0.983679693,25.2
35520.0333,49920,0.002466532,0.983679693,25.12
35640.0333,50040,0.002466526,0.983679693,25.12
35760.0333,50160,0.002466519,0.983679693,25.13
35880.0333,50280,0.002466514,0.983679693,25.05
36000.0333,50400,0.002466509,0.983679693,24.96
36120.0333,50520,0.002466503,0.983679693,25.11
36240.0333,50700,0.002466498,0.983679693,25.15
36360.0333,50820,0.002466493,0.983679693,25.18
36480.0333,50940,0.002466487,0.983679693,24.92
36600.0333,51060,0.002467483,0.983679693,25.07
36720.0333,51180,0.002477664,0.983679693,25.16
36840.0333,51300,0.002477658,0.983679693,25.24
36960.0333,51420,0.002477653,0.983679693,25.02
37080.0333,51540,0.002477648,0.983679693,25.29
37200.0333,51540,0.002477648,0.983679693,25.14
37320.0333,51720,0.002477643,0.983679693,25.07
37440.0333,51840,0.002477637,0.983679693,25
37560.0333,51960,0.002477631,0.983679693,25.18
37680.0333,52080,0.002477624,0.983679693,24.91
37800.0333,52200,0.002477619,0.983679693,25.06
37920.0333,52320,0.002476659,0.983679693,25.25
38040.0333,52440,0.002466418,0.983679693,25.02
38160.0333,52620,0.002466414,0.983679693,25.08
38280.0333,52740,0.002466408,0.983679693,25.04
38400.0333,52860,0.002466402,0.983679693,25.1
38520.0333,52980,0.002466398,0.983679693,25.03
38640.0333,53100,0.002466392,0.983679693,25.16
38760.0333,53220,0.002466386,0.983679693,25.05
