Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL]
0.0,15000.0,1.9349629001465697e-05,0.9838325093589657
0.0333,15000.0,1.9349629001465697e-05,0.9838325093589657
120.0333,15000.0,1.9349629001465697e-05,0.9838325093589657
240.0333,15000.0,1.9349629001465697e-05,0.9838325093589657
360.0333,15000.0,1.9349629001465697e-05,0.9838325093589657
480.0333,15000.0,1.9349629001465697e-05,0.9838325093589657
600.0333,15000.0,1.9349629001465697e-05,0.9838325093589657
720.0333,15120.0,1.9325805486506022e-05,0.9838325093589657
840.0333,15240.0,1.9300393340292962e-05,0.9838325093589657
960.0333,15360.0,1.9277806501995428e-05,0.9838325093589657
1080.0333,15480.0,1.9253977912019127e-05,0.9838325093589657
1200.0333,15600.0,1.9230149959831052e-05,0.9838325093589657
1320.0333,15780.0,1.9203881783234523e-05,0.9838325093589657
1440.0333,15900.0,2.466286688837226e-05,0.9838325093589657
1560.0333,16020.0,2.461542444887718e-05,0.9838325093589657
1680.0333,16140.0,2.629775588091531e-05,0.9838325093589657
1800.0333,16260.0,1.9109808864763508e-05,0.9838325093589657
1920.0333,16380.0,2.625009724349057e-05,0.9838325093589657
2040.0333,16500.0,2.622507922649484e-05,0.9838325093589657
2160.0333,16500.0,2.622507922649484e-05,0.9838325093589657
2280.0333,16680.0,2.620125499673849e-05,0.9838325093589657
2400.0333,16800.0,2.6177430769458983e-05,0.9838325093589657
2520.0333,16920.0,2.6153192309776744e-05,0.9838325093589657
2640.0333,17040.0,2.6128615222033855e-05,0.9838325093589657
2760.0333,17160.0,2.6105958442509943e-05,0.9838325093589657
2880.0333,17280.0,2.4135888992777882e-05,0.9838325093589657
3000.0333,17400.0,2.6058312211531558e-05,0.9838325093589657
3120.0333,17580.0,2.6034487999112936e-05,0.9838325093589657
3240.0333,17700.0,3.317379705678155e-05,0.9838325093589657
3360.0333,17820.0,2.5986840852364457e-05,0.9838325093589657
3480.0333,17940.0,2.5962559210466402e-05,0.9838325093589657
3600.0333,18060.0,2.802144620846368e-05,0.9838325093589657
3720.0333,18180.0,2.591536951548825e-05,0.9838325093589657
3840.0333,18300.0,2.0868334933936177e-05,0.9838325093589657
3960.0333,18300.0,2.0868334933936177e-05,0.9838325093589657
4080.0333,18480.0,2.8024646979294376e-05,0.9838325093589657
4200.0333,18600.0,2.5843898200902923e-05,0.9838325093589657
4320.0333,18720.0,2.5820073619725977e-05,0.9838325093589657
4440.0333,18840.0,2.579625109378225e-05,0.9838325093589657
4560.0333,18960.0,3.293555272930781e-05,0.9838325093589657
4680.0333,19080.0,3.291172780190436e-05,0.9838325093589657
4800.0333,19200.0,3.05909763393676e-05,0.9838325093589657
4920.0333,19320.0,2.8024725090409232e-05,0.9838325093589657
5040.0333,19500.0,2.5677132317044882e-05,0.9838325093589657
5160.0333,19620.0,3.281642938775602e-05,0.9838325093589657
5280.0333,19740.0,2.5629484390892206e-05,0.9838325093589657
5400.0333,19860.0,2.5605124006181408e-05,0.9838325093589657
5520.0333,19980.0,3.274495508216666e-05,0.9838325093589657
5640.0333,20100.0,3.27205858848442e-05,0.9838325093589657
5760.0333,20220.0,3.269730737882172e-05,0.9838325093589657
5880.0333,20220.0,3.269730737882172e-05,0.9838325093589657
6000.0333,20400.0,2.5508777163001285e-05,0.9838325093589657
6120.0333,20520.0,3.264965884672483e-05,0.9838325093589657
6240.0333,20640.0,3.262526658371443e-05,0.9838325093589657
6360.0333,20760.0,3.260143660579e-05,0.9838325093589657
6480.0333,20880.0,3.257760686135588e-05,0.9838325093589657
6600.0333,21000.0,2.538965895264506e-05,0.9838325093589657
6720.0333,21120.0,2.5365834809742125e-05,0.9838325093589657
6840.0333,21300.0,2.8023501143764466e-05,0.9838325093589657
6960.0333,21420.0,3.248129815322674e-05,0.9838325093589657
7080.0333,21540.0,3.245747327304946e-05,0.9838325093589657
7200.0333,21660.0,3.243364966604304e-05,0.9838325093589657
7320.0333,21780.0,3.240982479081946e-05,0.9838325093589657
7440.0333,21900.0,3.518093248180566e-05,0.9838325093589657
7560.0333,22020.0,3.2362176318496695e-05,0.9838325093589657
7680.0333,22140.0,3.2338351450703766e-05,0.9838325093589657
7800.0333,22140.0,3.2338351450703766e-05,0.9838325093589657
7920.0333,22320.0,3.231452785608109e-05,0.9838325093589657
8040.0333,22440.0,3.656630555751862e-05,0.9838325093589657
8160.0333,22560.0,2.5102185531924088e-05,0.9838325093589657
8280.0333,22680.0,3.3366765346509217e-05,0.9838325093589657
8400.0333,22860.0,0.0024699475335616997,0.9836796927959329
8520.0333,22980.0,0.0024788954585109936,0.9836796927959329
8640.0333,22980.0,0.0024788954585109936,0.9836796927959329
8760.0333,23160.0,0.0024788887166347605,0.9836796927959329
8880.0333,23280.0,0.0024788835777863963,0.9836796927959329
9000.0333,23400.0,0.0024788781211527275,0.9836796927959329
9120.0333,23520.0,0.0024766588560003948,0.9836796927959329
9240.0333,23640.0,0.0024676780154457177,0.9836796927959329
9360.0333,23760.0,0.0024676722365858956,0.9836796927959329
9480.0333,23880.0,0.0024676677352220354,0.9836796927959329
9600.0333,24000.0,0.0024676622845355694,0.9836796927959329
9720.0333,24180.0,0.0024676565060818235,0.9836796927959329
9840.0333,24300.0,0.0024676507270503197,0.9836796927959329
9960.0333,24420.0,0.00246764494836196,0.9836796927959329
10080.0333,24540.0,0.0024676391695656465,0.9836796927959329
10200.0333,24660.0,0.0024676333905345764,0.9836796927959329
10320.0333,24780.0,0.0024676276116146548,0.9836796927959329
10440.0333,24900.0,0.002467621833050769,0.9836796927959329
10560.0333,24900.0,0.002467621833050769,0.9836796927959329
10680.0333,25080.0,0.0024676170032259036,0.9836796927959329
10800.0333,25200.0,0.002476465684491968,0.9836796927959329
10920.0333,25320.0,0.0024787946469065195,0.9836796927959329
11040.0333,25440.0,0.002478787567963124,0.9836796927959329
11160.0333,25560.0,0.0024787830888652104,0.9836796927959329
11280.0333,25680.0,0.002478777309726164,0.9836796927959329
11400.0333,25800.0,0.0024787715307635107,0.9836796927959329
11520.0333,25980.0,0.0024787673390915636,0.9836796927959329
11640.0333,26100.0,0.0024787615784689857,0.9836796927959329
11760.0333,26220.0,0.0024787557992721086,0.9836796927959329
11880.0333,26340.0,0.0024787500203099925,0.9836796927959329
12000.0333,26460.0,0.002478744241120752,0.9836796927959329
12120.0333,26580.0,0.0024787384620972466,0.9836796927959329
12240.0333,26700.0,0.002478732683081961,0.9836796927959329
12360.0333,26820.0,0.0024787269038850776,0.9836796927959329
12480.0333,26820.0,0.0024787269038850776,0.9836796927959329
12600.0333,27000.0,0.002478722063507035,0.9836796927959329
