Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL]
0.0,82800.0,0.00246509263087113,0.9836796927959329
0.0333,82800.0,0.00246509263087113,0.9836796927959329
120.0333,82980.0,0.0024650875502239063,0.9836796927959329
240.0333,83100.0,0.002465083320080878,0.9836796927959329
360.0333,83220.0,0.0024650775985722603,0.9836796927959329
480.0333,83340.0,0.0024650718198467895,0.9836796927959329
600.0333,83460.0,0.0024650660410424586,0.9836796927959329
720.0333,83580.0,0.002465060262422239,0.9836796927959329
840.0333,83700.0,0.002465054483524272,0.9836796927959329
960.0333,83700.0,0.002465054483524272,0.9836796927959329
1080.0333,83880.0,0.002467861392105359,0.9836796927959329
1200.0333,83880.0,0.002467861392105359,0.9836796927959329
1320.0333,84360.0,0.008090386648259111,0.984888679546211
1440.0333,84360.0,0.008090386648259111,0.984888679546211
1560.0333,84360.0,0.008090386648259111,0.984888679546211
1680.0333,84480.0,0.008136560276505566,0.984888679546211
1800.0333,84660.0,0.008144219603470055,0.984888679546211
1920.0333,84780.0,0.008144156140214931,0.984888679546211
2040.0333,84900.0,0.008144091970519986,0.984888679546211
2160.0333,85020.0,0.008144027802285443,0.984888679546211
2280.0333,85140.0,0.008143963635375371,0.984888679546211
2400.0333,85260.0,0.00814389946812508,0.984888679546211
2520.0333,85380.0,0.008143834802570934,0.984888679546211
2640.0333,85500.0,0.008143771133534553,0.984888679546211
2760.0333,85500.0,0.008143771133534553,0.984888679546211
2880.0333,85680.0,0.008143706965891707,0.984888679546211
3000.0333,85800.0,0.008143642524099656,0.984888679546211
3120.0333,85920.0,0.008143577132138136,0.984888679546211
3240.0333,86040.0,0.008143513239743994,0.984888679546211
3360.0333,86160.0,0.00814344705714888,0.984888679546211
3480.0333,86280.0,0.008143384482075538,0.984888679546211
3600.0333,86400.0,0.008116338675073151,0.984888679546211
3720.0333,86520.0,0.008116274515162322,0.984888679546211
3840.0333,86700.0,0.00811621035594976,0.984888679546211
3960.0333,86820.0,0.008116145324888548,0.984888679546211
4080.0333,86940.0,0.008116082036111657,0.984888679546211
4200.0333,87060.0,0.008116017796564876,0.984888679546211
4320.0333,87180.0,0.008115953161017523,0.984888679546211
4440.0333,87300.0,0.008115888528170462,0.984888679546211
4560.0333,87420.0,0.008115823892765854,0.984888679546211
4680.0333,87540.0,0.008115759591131706,0.984888679546211
4800.0333,87540.0,0.008115759591131706,0.984888679546211
4920.0333,87720.0,0.008115695429380445,0.984888679546211
5040.0333,87840.0,0.008115631271669844,0.984888679546211
5160.0333,87960.0,0.008115567112513196,0.984888679546211
5280.0333,88080.0,0.00811550237065385,0.984888679546211
5400.0333,88200.0,0.008115438793605368,0.984888679546211
5520.0333,88320.0,0.008115373103409339,0.984888679546211
5640.0333,88440.0,0.00811531047498546,0.984888679546211
5760.0333,88560.0,0.008115245499371667,0.984888679546211
5880.0333,88740.0,0.008115182155760787,0.984888679546211
6000.0333,88860.0,0.008115117994171075,0.984888679546211
6120.0333,88980.0,0.008115053835890007,0.984888679546211
6240.0333,89100.0,0.008114989675460028,0.984888679546211
6360.0333,89220.0,0.008114925428383244,0.984888679546211
6480.0333,89340.0,0.008114861357863806,0.984888679546211
6600.0333,89460.0,0.008114797197934015,0.984888679546211
6720.0333,89580.0,0.00811473303879457,0.984888679546211
6840.0333,89580.0,0.00811473303879457,0.984888679546211
6960.0333,89760.0,0.008114668716595323,0.984888679546211
7080.0333,89880.0,0.008114603446025595,0.984888679546211
7200.0333,90000.0,0.008114539449102254,0.984888679546211
7320.0333,90120.0,0.008114474816653597,0.984888679546211
7440.0333,90240.0,0.008114410595089171,0.984888679546211
7560.0333,90360.0,0.008114346437005999,0.984888679546211
7680.0333,90480.0,0.008114280914262207,0.984888679546211
7800.0333,90600.0,0.008114218117602812,0.984888679546211
7920.0333,90780.0,0.008114152978479188,0.984888679546211
8040.0333,90900.0,0.008114089799285316,0.984888679546211
8160.0333,91020.0,0.008114025607446333,0.984888679546211
8280.0333,91140.0,0.008113961481420174,0.984888679546211
8400.0333,91260.0,0.008113897322514527,0.984888679546211
8520.0333,91380.0,0.008113833163114714,0.984888679546211
8640.0333,91500.0,0.00811376878424744,0.984888679546211
8760.0333,91620.0,0.00811370484399871,0.984888679546211
8880.0333,91620.0,0.00811370484399871,0.984888679546211
9000.0333,91800.0,0.008113640686112974,0.984888679546211
9120.0333,91920.0,0.008113576524954504,0.984888679546211
9240.0333,92040.0,0.008113512367104664,0.984888679546211
9360.0333,92160.0,0.008113447266259299,0.984888679546211
9480.0333,92280.0,0.008113384048625763,0.984888679546211
9600.0333,92400.0,0.008113318244074918,0.984888679546211
9720.0333,92520.0,0.00811325501041156,0.984888679546211
9840.0333,92640.0,0.008113189926641468,0.984888679546211
9960.0333,92820.0,0.008113125767951665,0.984888679546211
10080.0333,92940.0,0.00811306160927981,0.984888679546211
10200.0333,93060.0,0.008112997449275622,0.984888679546211
10320.0333,93180.0,0.00811293309038695,0.984888679546211
10440.0333,93300.0,0.008112869130627212,0.984888679546211
10560.0333,93420.0,0.008112804971482156,0.984888679546211
10680.0333,93540.0,0.00811274081534126,0.984888679546211
10800.0333,93660.0,0.008112676605074585,0.984888679546211
10920.0333,93660.0,0.008112676605074585,0.984888679546211
11040.0333,93840.0,0.008112612496836445,0.984888679546211
11160.0333,93960.0,0.008112547339535554,0.984888679546211
11280.0333,94080.0,0.008112484178751093,0.984888679546211
11400.0333,94200.0,0.008112420020258727,0.984888679546211
11520.0333,94320.0,0.008112355861784309,0.984888679546211
11640.0333,94440.0,0.008112291702533834,0.984888679546211
11760.0333,94560.0,0.008112225976163817,0.984888679546211
11880.0333,94680.0,0.008112163384280304,0.984888679546211
12000.0333,94860.0,0.008112098606302128,0.984888679546211
12120.0333,94980.0,0.008112035069389218,0.984888679546211
12240.0333,95100.0,0.008111970581024835,0.984888679546211
12360.0333,95220.0,0.00811190594930013,0.984888679546211
12480.0333,95340.0,0.00811184131540694,0.984888679546211
12600.0333,95460.0,0.008111776787445457,0.984888679546211
12720.0333,95580.0,0.008111712628942386,0.984888679546211
12840.0333,95700.0,0.008111648469480027,0.984888679546211
12960.0333,95700.0,0.008111648469480027,0.984888679546211
13080.0333,95880.0,0.008111584311931696,0.984888679546211
13200.0333,96000.0,0.008111520154166668,0.984888679546211
13320.0333,96120.0,0.0081114551650689,0.984888679546211
13440.0333,96240.0,0.008111391837055204,0.984888679546211
13560.0333,96360.0,0.008111326165516622,0.984888679546211
13680.0333,96480.0,0.008111263519305164,0.984888679546211
13800.0333,96600.0,0.008111198796581905,0.984888679546211
13920.0333,96720.0,0.008111135201626915,0.984888679546211
14040.0333,96900.0,0.008111071044460039,0.984888679546211
14160.0333,96900.0,0.008111071044460039,0.984888679546211
14280.0333,96900.0,0.008111071044460039,0.984888679546211
14400.0333,96900.0,0.008111071044460039,0.984888679546211
14520.0333,96900.0,0.008111071044460039,0.984888679546211
14640.0333,97980.0,0.016209462503044655,0.9854393443893569
14760.0333,97980.0,0.016209462503044655,0.9854393443893569
14880.0333,97980.0,0.016209462503044655,0.9854393443893569
15000.0333,97980.0,0.016209462503044655,0.9854393443893569
15120.0333,97980.0,0.016209462503044655,0.9854393443893569
15240.0333,98100.0,0.01624430584851229,0.9854393443893569
15360.0333,98220.0,0.016244204238463275,0.9854393443893569
15480.0333,98340.0,0.01624410114881311,0.9854393443893569
15600.0333,98340.0,0.01624410114881311,0.9854393443893569
15720.0333,98520.0,0.0162439980543908,0.9854393443893569
15840.0333,98640.0,0.016243894964395402,0.9854393443893569
15960.0333,98760.0,0.016243791870480348,0.9854393443893569
16080.0333,98880.0,0.016243690143693076,0.9854393443893569
16200.0333,99000.0,0.016243586958893164,0.9854393443893569
16320.0333,99120.0,0.01624348430280795,0.9854393443893569
16440.0333,99240.0,0.016243381211669464,0.9854393443893569
16560.0333,99360.0,0.016243278119301253,0.9854393443893569
16680.0333,99540.0,0.016243175917346454,0.9854393443893569
16800.0333,99660.0,0.01620812728059176,0.9854393443893569
16920.0333,99780.0,0.016208024205430934,0.9854393443893569
17040.0333,99900.0,0.016207921731817277,0.9854393443893569
17160.0333,100020.0,0.016207818559518743,0.9854393443893569
17280.0333,100140.0,0.016207715380962155,0.9854393443893569
17400.0333,100260.0,0.01620761328551113,0.9854393443893569
17520.0333,100260.0,0.01620761328551113,0.9854393443893569
17640.0333,100440.0,0.0162075105264923,0.9854393443893569
17760.0333,100560.0,0.016207407573211118,0.9854393443893569
17880.0333,100680.0,0.016207304371262873,0.9854393443893569
18000.0333,100800.0,0.01620720129143567,0.9854393443893569
18120.0333,100920.0,0.01620709976222195,0.9854393443893569
18240.0333,101040.0,0.016206996591354838,0.9854393443893569
18360.0333,101160.0,0.01620689376680247,0.9854393443893569
18480.0333,101280.0,0.016206790690604964,0.9854393443893569
18600.0333,101460.0,0.016206687615436432,0.9854393443893569
18720.0333,101580.0,0.01620658560675044,0.9854393443893569
18840.0333,101700.0,0.016206482434574038,0.9854393443893569
18960.0333,101820.0,0.01620638008812226,0.9854393443893569
19080.0333,101940.0,0.01620627701078319,0.9854393443893569
19200.0333,102060.0,0.0162061732474642,0.9854393443893569
19320.0333,102180.0,0.01620607085607967,0.9854393443893569
19440.0333,102300.0,0.016205968278807832,0.9854393443893569
19560.0333,102300.0,0.016205968278807832,0.9854393443893569
19680.0333,102480.0,0.01620586600805475,0.9854393443893569
19800.0333,102600.0,0.016205763335920168,0.9854393443893569
19920.0333,102720.0,0.0162056604683404,0.9854393443893569
20040.0333,102840.0,0.016205557298851224,0.9854393443893569
20160.0333,102960.0,0.01620545412405631,0.9854393443893569
20280.0333,103080.0,0.016205352654402948,0.9854393443893569
20400.0333,103200.0,0.01620524948991235,0.9854393443893569
20520.0333,103320.0,0.016205146315709254,0.9854393443893569
20640.0333,103500.0,0.016205043505101088,0.9854393443893569
