Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
20101.1333,20100.0333,69,4.176,4.176,10.322,2.0715,2.0552,255,209,0,255,105
20401.1333,20400.0333,70,4.192,4.192,10.35,2.0734,2.0552,255,225,0,255,105
20701.1333,20700.0333,71,4.172,4.172,10.31,2.0735,2.038,255,215,0,255,105
21001.1333,21000.0333,72,4.157,4.157,10.283,2.0718,2.038,255,210,0,255,105
21301.1333,21300.0333,73,4.165,4.165,10.299,2.073,2.038,255,229,0,255,105
21601.1333,21600.0333,74,4.168,4.168,10.304,2.0726,2.038,255,235,0,255,105
21901.1333,21900.0333,75,4.18,4.18,10.327,2.0727,2.038,255,212,0,255,105
22201.1333,22200.0333,76,4.17,4.17,10.307,2.0729,2.038,255,225,0,255,105
22501.1333,22500.0333,77,4.165,4.165,10.298,2.0725,2.038,255,208,0,255,105
22801.1333,22800.0333,78,4.171,4.171,10.311,2.0724,2.038,255,220,0,255,105
23101.1333,23100.0333,79,4.169,4.169,10.306,2.0727,2.038,255,211,0,255,105
23401.1333,23400.0333,80,4.194,4.194,10.356,2.0736,2.038,255,240,0,255,105
23701.1333,23700.0333,81,4.266,4.266,10.513,2.0754,2.038,255,222,0,255,105
24001.1333,24000.0333,82,4.284,4.284,10.545,2.0762,2.038,255,209,0,255,105
24301.1333,24300.0333,83,4.279,4.279,10.536,2.0765,2.038,255,230,0,255,105
24601.1333,24600.0333,84,4.293,4.293,10.566,2.0765,2.038,255,222,0,255,105
24901.1333,24900.0333,85,4.299,4.299,10.576,2.0767,2.038,255,210,0,255,105
25201.1333,25200.0333,86,4.289,4.289,10.555,2.0768,2.038,255,210,0,255,105
25501.1333,25500.0333,87,4.276,4.276,10.53,2.0773,2.0466,255,212,0,255,105
25801.1333,25800.0333,88,4.282,4.282,10.543,2.0768,2.0466,255,230,0,255,105
26101.1333,26100.0333,89,4.282,4.282,10.542,2.0772,2.0466,255,234,0,255,105
26401.1333,26400.0333,90,4.289,4.289,10.557,2.0762,2.0466,255,222,0,255,105
26701.1333,26700.0333,91,4.279,4.279,10.535,2.0774,2.038,255,231,0,255,105
27001.1333,27000.0333,92,4.27,4.27,10.519,2.0772,2.038,255,215,0,255,105
27301.1333,27300.0333,93,4.289,4.289,10.555,2.0772,2.038,255,212,0,255,105
27601.1333,27600.0333,94,4.304,4.304,10.583,2.0782,2.038,255,224,0,255,105
27901.1333,27900.0333,95,4.292,4.292,10.561,2.0773,2.038,255,208,0,255,105
28201.1333,28200.0333,96,4.311,4.311,10.598,2.0775,2.038,255,209,0,255,105
28501.1333,28500.0333,97,4.285,4.285,10.547,2.0775,2.0466,255,234,0,255,105
28801.1333,28800.0333,98,4.288,4.288,10.555,2.0773,2.0466,255,241,0,255,105
29101.1333,29100.0333,99,4.286,4.286,10.551,2.077,2.0466,255,225,0,255,105
29401.1333,29400.0333,100,4.299,4.299,10.575,2.0778,2.0466,255,224,0,255,105
29701.1333,29700.0333,101,4.302,4.302,10.58,2.0779,2.0466,255,211,0,255,105
30001.1333,30000.0333,102,4.304,4.304,10.586,2.0774,2.0466,255,211,0,255,105
30301.1333,30300.0333,103,4.301,4.301,10.579,2.0776,2.0466,255,210,0,255,105
30601.1333,30600.0333,104,4.314,4.314,10.605,2.0774,2.0466,255,216,0,255,105
30901.1333,30900.0333,105,4.282,4.282,10.544,2.0765,2.038,255,235,0,255,105
31201.1333,31200.0333,106,4.291,4.291,10.558,2.0785,2.038,255,208,0,255,105
31501.1333,31500.0333,107,4.295,4.295,10.567,2.0774,2.038,255,221,0,255,105
31801.1333,31800.0333,108,4.291,4.291,10.559,2.0774,2.038,255,212,0,255,105
32101.1333,32100.0333,109,4.291,4.291,10.56,2.0773,2.038,255,210,0,255,105
32401.1333,32400.0333,110,4.297,4.297,10.572,2.0775,2.038,255,218,0,255,105
32701.1333,32700.0333,111,4.304,4.304,10.585,2.0777,2.038,255,212,0,255,105
33001.1333,33000.0333,112,4.375,4.375,10.752,2.0791,2.0295,255,235,0,255,105
33301.1333,33300.0333,113,4.411,4.411,10.843,2.0756,2.0295,255,208,0,255,105
33601.1333,33600.0333,114,4.384,4.384,10.79,2.0765,2.0295,255,227,0,255,105
33901.1333,33900.0333,115,4.406,4.406,10.83,2.0768,2.0295,255,206,0,255,105
34201.1333,34200.0333,116,4.397,4.397,10.814,2.0766,2.0295,255,242,0,255,105
34501.1333,34500.0333,117,4.396,4.396,10.812,2.0768,2.0295,255,217,0,255,105
34801.1333,34800.0333,118,4.419,4.419,10.857,2.0771,2.0295,255,211,0,255,105
35101.1333,35100.0333,119,4.428,4.428,10.874,2.0776,2.0295,255,212,0,255,105
35401.1333,35400.0333,120,4.414,4.414,10.846,2.0776,2.0466,255,225,0,255,105
35701.1333,35700.0333,121,4.423,4.423,10.864,2.0777,2.0466,255,209,0,255,105
36001.1333,36000.0333,122,4.424,4.424,10.867,2.0778,2.0466,255,226,0,255,105
36301.1333,36300.0333,123,4.429,4.429,10.876,2.0774,2.0466,255,210,0,255,105
36601.1333,36600.0333,124,4.409,4.409,10.837,2.0776,2.0209,255,219,0,255,105
36901.1333,36900.0333,125,4.416,4.416,10.85,2.0776,2.0209,255,224,0,255,105
37201.1333,37200.0333,126,4.424,4.424,10.866,2.0777,2.0209,255,217,0,255,105
37501.1333,37500.0333,127,4.401,4.401,10.821,2.0778,2.038,255,238,0,255,105
37801.1333,37800.0333,128,4.406,4.406,10.829,2.0781,2.038,255,209,0,255,105
38101.1333,38100.0333,129,4.412,4.412,10.842,2.078,2.038,255,222,0,255,105
38401.1333,38400.0333,130,4.417,4.417,10.851,2.0781,2.038,255,218,0,255,105
38701.1333,38700.0333,131,4.415,4.415,10.847,2.0784,2.038,255,225,0,255,105
39001.1333,39000.0333,132,4.396,4.396,10.812,2.0777,2.0295,255,212,0,255,105
39301.1333,39300.0333,133,4.402,4.402,10.823,2.0782,2.0295,255,212,0,255,105
39601.1333,39600.0333,134,4.393,4.393,10.806,2.0773,2.0295,255,241,0,255,105
39901.1333,39900.0333,135,4.406,4.406,10.829,2.0782,2.0295,255,216,0,255,105
40201.1333,40200.0333,136,4.405,4.405,10.826,2.0784,2.0295,255,211,0,255,105
40501.1333,40500.0333,137,4.401,4.401,10.821,2.0779,2.0295,255,211,0,255,105
40801.1333,40800.0333,138,4.414,4.414,10.844,2.0785,2.0295,255,219,0,255,105
41101.1333,41100.0333,139,4.409,4.409,10.836,2.0779,2.0295,255,215,0,255,105
41401.1333,41400.0333,140,4.391,4.391,10.801,2.0781,2.0295,255,212,0,255,105
41701.1333,41700.0333,141,4.421,4.421,10.86,2.0782,2.0295,255,236,0,255,105
42001.1333,42000.0333,142,4.418,4.418,10.854,2.078,2.0295,255,231,0,255,105
42301.1333,42300.0333,143,4.424,4.424,10.865,2.0785,2.0295,255,212,0,255,105
42601.1333,42600.0333,144,4.43,4.43,10.878,2.0782,2.0295,255,212,0,255,105
42901.1333,42900.0333,145,4.428,4.428,10.874,2.0783,2.0295,255,212,0,255,105
43201.1333,43200.0333,146,4.424,4.424,10.865,2.0777,2.0295,255,211,0,255,105
43501.1333,43500.0333,147,4.433,4.433,10.883,2.0782,2.0295,255,211,0,255,105
43801.1333,43800.0333,148,4.421,4.421,10.86,2.0779,2.0295,255,214,0,255,105
44101.1333,44100.0333,149,4.435,4.435,10.885,2.0789,2.0295,255,228,0,255,105
44401.1333,44400.0333,150,4.43,4.43,10.877,2.0781,2.0295,255,211,0,255,105
44701.1333,44700.0333,151,4.441,4.441,10.898,2.0787,2.0295,255,211,0,255,105
45001.1333,45000.0333,152,4.434,4.434,10.884,2.0777,2.0295,255,221,0,255,105
45301.1333,45300.0333,153,4.442,4.442,10.899,2.0788,2.0295,255,209,0,255,105
45601.1333,45600.0333,154,4.429,4.429,10.874,2.0786,2.0295,255,222,0,255,105
45901.1333,45900.0333,155,4.436,4.436,10.892,2.0769,2.0295,255,212,0,255,105
46201.1333,46200.0333,156,4.432,4.432,10.88,2.0788,2.0295,255,220,0,255,105
46501.1333,46500.0333,157,4.436,4.436,10.888,2.0789,2.0295,255,211,0,255,105
46801.1333,46800.0333,158,4.433,4.433,10.883,2.0779,2.0295,255,208,0,255,105
47101.1333,47100.0333,159,4.445,4.445,10.904,2.0794,2.0295,255,216,0,255,105
47401.1333,47400.0333,160,4.446,4.446,10.908,2.0789,2.0295,255,223,0,255,105
47701.1333,47700.0333,161,4.445,4.445,10.908,2.0779,2.0295,255,226,0,255,105
48001.1333,48000.0333,162,4.443,4.443,10.902,2.0785,2.0295,255,210,0,255,105
48301.1333,48300.0333,163,4.437,4.437,10.89,2.0784,2.0295,255,211,0,255,105
48601.1333,48600.0333,164,4.445,4.445,10.907,2.0781,2.0295,255,225,0,255,105
48901.1333,48900.0333,165,4.446,4.446,10.906,2.0793,2.0295,255,222,0,255,105
49201.1333,49200.0333,166,4.443,4.443,10.901,2.0791,2.0295,255,217,0,255,105
49501.1333,49500.0333,167,4.453,4.453,10.922,2.0787,2.0295,255,237,0,255,105
49801.1333,49800.0333,168,4.44,4.44,10.897,2.0782,2.0295,255,221,0,255,105
50101.1333,50100.0333,169,4.449,4.449,10.914,2.0787,2.0295,255,229,0,255,105
50401.1333,50400.0333,170,4.449,4.449,10.912,2.0789,2.0295,255,223,0,255,105
50701.1333,50700.0333,171,4.448,4.448,10.911,2.0784,2.0295,255,211,0,255,105
51001.1333,51000.0333,172,4.449,4.449,10.913,2.0788,2.0295,255,231,0,255,105
51301.1333,51300.0333,173,4.451,4.451,10.917,2.0788,2.0295,255,212,0,255,105
51601.1333,51600.0333,174,4.449,4.449,10.914,2.0784,2.0295,255,210,0,255,105
51901.1333,51900.0333,175,4.451,4.451,10.916,2.0789,2.0295,255,210,0,255,105
52201.1333,52200.0333,176,4.457,4.457,10.927,2.0794,2.0295,255,224,0,255,105
52501.1333,52500.0333,177,4.421,4.421,10.859,2.0783,2.038,255,220,0,255,105
