Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data            Data            Data            Data            Data            Data            Data            Data,Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge            IFT             Diam            LYb             LYBeta          LYErr           ApexX           ApexY           A.R.,Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
9301.1667,9300.0334,33,4.419,4.419,10.829,2.0708,2.0295,255,207,0,255,105,9301.1667,9300.0334,33,4.419,4.419,10.829,2.0708,2.0295,255,207,0,255,105
9601.1667,9600.0334,34,4.388,4.388,10.797,2.071,2.0295,255,204,0,255,105,9601.1667,9600.0334,34,4.388,4.388,10.797,2.071,2.0295,255,204,0,255,105
9901.1667,9900.0334,35,4.427,4.427,10.844,2.0711,2.0295,255,206,0,255,105,9901.1667,9900.0334,35,4.427,4.427,10.844,2.0711,2.0295,255,206,0,255,105
10201.1667,10200.0334,36,4.4,4.4,10.791,2.0708,2.0295,255,213,0,255,105,10201.1667,10200.0334,36,4.4,4.4,10.791,2.0708,2.0295,255,213,0,255,105
10501.1667,10500.0334,37,4.402,4.402,10.796,2.0707,2.0295,255,208,0,255,105,10501.1667,10500.0334,37,4.402,4.402,10.796,2.0707,2.0295,255,208,0,255,105
10801.1667,10800.0334,38,4.41,4.41,10.811,2.0707,2.0295,255,201,0,255,105,10801.1667,10800.0334,38,4.41,4.41,10.811,2.0707,2.0295,255,201,0,255,105
11101.1667,11100.0334,39,4.407,4.407,10.808,2.0706,2.0295,255,233,0,255,105,11101.1667,11100.0334,39,4.407,4.407,10.808,2.0706,2.0295,255,233,0,255,105
11401.1667,11400.0334,40,4.372,4.372,10.771,2.0711,2.0295,255,204,0,255,105,11401.1667,11400.0334,40,4.372,4.372,10.771,2.0711,2.0295,255,204,0,255,105
11701.1667,11700.0334,41,4.398,4.398,10.819,2.071,2.0295,255,233,0,255,105,11701.1667,11700.0334,41,4.398,4.398,10.819,2.071,2.0295,255,233,0,255,105
12001.1667,12000.0334,42,4.391,4.391,10.8,2.0709,2.0295,255,224,0,255,105,12001.1667,12000.0334,42,4.391,4.391,10.8,2.0709,2.0295,255,224,0,255,105
12301.1667,12300.0334,43,4.435,4.435,10.861,2.0711,2.0295,255,205,0,255,105,12301.1667,12300.0334,43,4.435,4.435,10.861,2.0711,2.0295,255,205,0,255,105
12601.1667,12600.0334,44,4.452,4.452,10.894,2.0714,2.0295,255,240,0,255,105,12601.1667,12600.0334,44,4.452,4.452,10.894,2.0714,2.0295,255,240,0,255,105
12901.1667,12900.0334,45,4.379,4.379,10.775,2.071,2.038,255,205,0,255,105,12901.1667,12900.0334,45,4.379,4.379,10.775,2.071,2.038,255,205,0,255,105
13201.1667,13200.0334,46,4.421,4.421,10.834,2.0709,2.038,255,203,0,255,105,13201.1667,13200.0334,46,4.421,4.421,10.834,2.0709,2.038,255,203,0,255,105
13501.1667,13500.0334,47,4.414,4.414,10.817,2.0712,2.038,255,227,0,255,105,13501.1667,13500.0334,47,4.414,4.414,10.817,2.0712,2.038,255,227,0,255,105
13801.1667,13800.0334,48,4.412,4.412,10.816,2.0712,2.0466,255,206,0,255,105,13801.1667,13800.0334,48,4.412,4.412,10.816,2.0712,2.0466,255,206,0,255,105
14101.1667,14100.0334,49,4.395,4.395,10.784,2.071,2.0466,255,221,0,255,105,14101.1667,14100.0334,49,4.395,4.395,10.784,2.071,2.0466,255,221,0,255,105
