,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,,White,Edge
19501.1667,19500.0334,67,3.584,3.584,9.1967,2.0399,2.0124,255,196,0,255,105
19801.1667,19800.0334,68,3.576,3.576,9.1806,2.0404,2.0124,255,193,0,255,105
20101.1667,20100.0334,69,3.581,3.581,9.1903,2.0399,2.0124,255,193,0,255,105
20401.1667,20400.0334,70,3.583,3.583,9.1951,2.04,2.0124,255,220,0,255,105
20701.1667,20700.0334,71,3.577,3.577,9.1811,2.0399,2.0124,255,202,0,255,105
21001.1667,21000.0334,72,3.575,3.575,9.1777,2.0397,2.0124,255,192,0,255,105
21301.1667,21300.0334,73,3.573,3.573,9.1755,2.0401,2.0124,255,209,0,255,105
21601.1667,21600.0334,74,3.579,3.579,9.1866,2.0398,2.0124,255,211,0,255,105
21901.1667,21900.0334,75,3.578,3.578,9.185,2.0399,2.0124,255,212,0,255,105
22201.1667,22200.0334,76,3.577,3.577,9.1829,2.04,2.0124,255,208,0,255,105
22501.1667,22500.0334,77,3.574,3.574,9.1757,2.0401,2.0124,255,191,0,255,105
22801.1667,22800.0334,78,3.581,3.581,9.1897,2.04,2.0124,255,202,0,255,105
23101.1667,23100.0334,79,3.578,3.578,9.184,2.04,2.0124,255,190,0,255,105
23401.1667,23400.0334,80,3.579,3.579,9.1866,2.0394,2.0124,255,212,0,255,105
23701.1667,23700.0334,81,3.579,3.579,9.1867,2.04,2.0124,255,196,0,255,105
24001.1667,24000.0334,82,3.575,3.575,9.1783,2.0397,2.0124,255,209,0,255,105
24301.1667,24300.0334,83,3.579,3.579,9.1863,2.0397,2.0124,255,219,0,255,105
24601.1667,24600.0334,84,3.578,3.578,9.1845,2.0397,2.0124,255,192,0,255,105
24901.1667,24900.0334,85,3.576,3.576,9.1799,2.0403,2.0124,255,212,0,255,105
25201.1667,25200.0334,86,3.576,3.576,9.1803,2.0398,2.0124,255,215,0,255,105
25501.1667,25500.0334,87,3.572,3.572,9.1726,2.0396,2.0124,255,208,0,255,105
25801.1667,25800.0334,88,3.577,3.577,9.1817,2.0401,2.0124,255,213,0,255,105
26101.1667,26100.0334,89,3.576,3.576,9.1796,2.0402,2.0124,255,192,0,255,105
26401.1667,26400.0334,90,3.571,3.571,9.1705,2.0401,2.0124,255,199,0,255,105
26701.1667,26700.0334,91,3.582,3.582,9.192,2.0396,2.0124,255,192,0,255,105
27001.1667,27000.0334,92,3.571,3.571,9.1713,2.0399,2.0124,255,204,0,255,105
27301.1667,27300.0334,93,3.571,3.571,9.1704,2.0398,2.0124,255,206,0,255,105
27601.1667,27600.0334,94,3.574,3.574,9.1757,2.0398,2.0124,255,190,0,255,105
27901.1667,27900.0334,95,3.571,3.571,9.1716,2.0402,2.0124,255,206,0,255,105
28201.1667,28200.0334,96,3.563,3.563,9.1552,2.04,2.0209,255,201,0,255,105
28501.1667,28500.0334,97,3.568,3.568,9.1651,2.0396,2.0209,255,195,0,255,105
28801.1667,28800.0334,98,3.574,3.574,9.1775,2.0399,2.0209,255,211,0,255,105
29101.1667,29100.0334,99,3.573,3.573,9.1751,2.0398,2.0209,255,191,0,255,105
29401.1667,29400.0334,100,3.568,3.568,9.1642,2.0401,2.0209,255,198,0,255,105
29701.1667,29700.0334,101,3.577,3.577,9.1828,2.0398,2.0209,255,207,0,255,105
30001.1667,30000.0334,102,3.575,3.575,9.1779,2.0398,2.0209,255,208,0,255,105
30301.1667,30300.0334,103,3.569,3.569,9.1667,2.04,2.0209,255,205,0,255,105
30601.1667,30600.0334,104,3.568,3.568,9.1659,2.0397,2.0209,255,195,0,255,105
30901.1667,30900.0334,105,3.578,3.578,9.1845,2.04,2.0209,255,212,0,255,105
31201.1667,31200.0334,106,3.576,3.576,9.1806,2.0397,2.0209,255,212,0,255,105
31501.1667,31500.0334,107,3.573,3.573,9.1739,2.04,2.0209,255,190,0,255,105
31801.1667,31800.0334,108,3.574,3.574,9.176,2.0398,2.0209,255,207,0,255,105
32101.1667,32100.0334,109,3.571,3.571,9.1706,2.0404,2.0209,255,201,0,255,105
32401.1667,32400.0334,110,3.569,3.569,9.1666,2.0403,2.0209,255,196,0,255,105
32701.1667,32700.0334,111,3.573,3.573,9.1741,2.0401,2.0209,255,192,0,255,105
33001.1667,33000.0334,112,3.577,3.577,9.1832,2.0397,2.0209,255,192,0,255,105
33301.1667,33300.0334,113,3.575,3.575,9.1773,2.0397,2.0209,255,208,0,255,105
33601.1667,33600.0334,114,3.564,3.564,9.1562,2.0397,2.0209,255,198,0,255,105
33901.1667,33900.0334,115,3.568,3.568,9.164,2.0401,2.0209,255,199,0,255,105
34201.1667,34200.0334,116,3.573,3.573,9.1745,2.04,2.0209,255,207,0,255,105
34501.1667,34500.0334,117,3.567,3.567,9.1622,2.0399,2.0209,255,199,0,255,105
34801.1667,34800.0334,118,3.569,3.569,9.1663,2.0404,2.0209,255,201,0,255,105
35101.1667,35100.0334,119,3.569,3.569,9.167,2.0399,2.0209,255,197,0,255,105
35401.1667,35400.0334,120,3.569,3.569,9.167,2.0402,2.0209,255,195,0,255,105
35701.1667,35700.0334,121,3.57,3.57,9.1691,2.0401,2.0209,255,205,0,255,105
36001.1667,36000.0334,122,3.567,3.567,9.1621,2.0401,2.0209,255,199,0,255,105
36301.1667,36300.0334,123,3.571,3.571,9.1707,2.04,2.0209,255,196,0,255,105
36601.1667,36600.0334,124,3.566,3.566,9.1602,2.0401,2.0209,255,194,0,255,105
36901.1667,36900.0334,125,3.562,3.562,9.1529,2.0401,2.0209,255,193,0,255,105
37201.1667,37200.0334,126,3.566,3.566,9.1606,2.0397,2.0209,255,198,0,255,105
37501.1667,37500.0334,127,3.571,3.571,9.1697,2.04,2.0209,255,202,0,255,105
37801.1667,37800.0334,128,3.569,3.569,9.1658,2.0398,2.0209,255,199,0,255,105
38101.1667,38100.0334,129,3.565,3.565,9.1581,2.0404,2.0209,255,193,0,255,105
38401.1667,38400.0334,130,3.568,3.568,9.1653,2.04,2.0209,255,201,0,255,105
38701.1667,38700.0334,131,3.568,3.568,9.1643,2.04,2.0209,255,198,0,255,105
39001.1667,39000.0334,132,3.558,3.558,9.1454,2.0399,2.0209,255,211,0,255,105
39301.1667,39300.0334,133,3.567,3.567,9.1623,2.0402,2.0209,255,202,0,255,105
39601.1667,39600.0334,134,3.567,3.567,9.1633,2.0399,2.0209,255,193,0,255,105
39901.1667,39900.0334,135,3.569,3.569,9.1671,2.0402,2.0209,255,199,0,255,105
40201.1667,40200.0334,136,3.56,3.56,9.149,2.0398,2.0209,255,190,0,255,105
40501.1667,40500.0334,137,3.563,3.563,9.1559,2.0399,2.0209,255,192,0,255,105
40801.1667,40800.0334,138,3.568,3.568,9.1643,2.0403,2.0209,255,202,0,255,105
41101.1667,41100.0334,139,3.563,3.563,9.1548,2.0399,2.0209,255,190,0,255,105
41401.1667,41400.0334,140,3.552,3.552,9.1323,2.0409,2.0209,255,214,0,255,105
41701.1667,41700.0334,141,3.562,3.562,9.1522,2.0395,2.0209,255,196,0,255,105
42001.1667,42000.0334,142,3.565,3.565,9.1592,2.0398,2.0209,255,212,0,255,105
42301.1667,42300.0334,143,3.563,3.563,9.1547,2.0398,2.0209,255,199,0,255,105
42601.1667,42600.0334,144,3.559,3.559,9.1468,2.0401,2.0209,255,197,0,255,105
42901.1667,42900.0334,145,3.563,3.563,9.1554,2.0398,2.0209,255,191,0,255,105
43201.1667,43200.0334,146,3.564,3.564,9.1562,2.0397,2.0209,255,199,0,255,105
43501.1667,43500.0334,147,3.563,3.563,9.1544,2.0399,2.0209,255,189,0,255,105
43801.1667,43800.0334,148,3.561,3.561,9.1505,2.0398,2.0209,255,191,0,255,105
44101.1667,44100.0334,149,3.567,3.567,9.162,2.0399,2.0209,255,195,0,255,105
44401.1667,44400.0334,150,3.564,3.564,9.1567,2.0402,2.0209,255,195,0,255,105
44701.1667,44700.0334,151,3.559,3.559,9.1464,2.0404,2.0209,255,216,0,255,105
45001.1667,45000.0334,152,3.555,3.555,9.1393,2.0396,2.0209,255,189,0,255,105
45301.1667,45300.0334,153,3.561,3.561,9.1502,2.0398,2.0209,255,192,0,255,105
45601.1667,45600.0334,154,3.563,3.563,9.1541,2.0401,2.0209,255,222,0,255,105
45901.1667,45900.0334,155,3.557,3.557,9.1422,2.0403,2.0209,255,198,0,255,105
46201.1667,46200.0334,156,3.567,3.567,9.1631,2.0395,2.0209,255,197,0,255,105
46501.1667,46500.0334,157,3.572,3.572,9.1719,2.0404,2.0209,255,192,0,255,105
46801.1667,46800.0334,158,3.564,3.564,9.1571,2.0398,2.0209,255,208,0,255,105
47101.1667,47100.0334,159,3.563,3.563,9.1542,2.0406,2.0209,255,194,0,255,105
47401.1667,47400.0334,160,3.584,3.584,9.1984,2.0403,1.9867,255,188,0,255,105
47701.1667,47700.0334,161,3.581,3.581,9.1894,2.0398,2.0038,255,207,0,255,105
48001.1667,48000.0334,162,3.59,3.59,9.2064,2.0402,1.9867,255,210,0,255,105
48301.1667,48300.0334,163,3.587,3.587,9.2025,2.0402,1.9867,255,192,0,255,105
48601.1667,48600.0334,164,3.582,3.582,9.1923,2.0399,1.9867,255,206,0,255,105
48901.1667,48900.0334,165,3.572,3.572,9.1718,2.0407,1.9952,255,209,0,255,105
49201.1667,49200.0334,166,3.565,3.565,9.159,2.0401,1.9952,255,193,0,255,105
49501.1667,49500.0334,167,3.555,3.555,9.1388,2.04,1.9952,255,191,0,255,105
49801.1667,49800.0334,168,3.56,3.56,9.1498,2.0399,1.9952,255,211,0,255,105
50101.1667,50100.0334,169,3.561,3.561,9.1499,2.0401,1.9952,255,204,0,255,105
50401.1667,50400.0334,170,3.554,3.554,9.1352,2.0404,1.9952,255,193,0,255,105
50701.1667,50700.0334,171,3.584,3.584,9.1959,2.0402,2.0124,255,204,0,255,105
51001.1667,51000.0334,172,3.591,3.591,9.2101,2.0401,2.0124,255,195,0,255,105
51301.1667,51300.0334,173,3.587,3.587,9.2017,2.0404,2.0124,255,210,0,255,105
51601.1667,51600.0334,174,3.586,3.586,9.1995,2.04,2.0124,255,190,0,255,105
51901.1667,51900.0334,175,3.589,3.589,9.2057,2.0401,2.0124,255,193,0,255,105
52201.1667,52200.0334,176,3.585,3.585,9.1984,2.0401,2.0124,255,206,0,255,105
52501.1667,52500.0334,177,3.582,3.582,9.1921,2.0404,2.0124,255,203,0,255,105
52801.1667,52800.0334,178,3.581,3.581,9.1897,2.0402,2.0124,255,196,0,255,105
