Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL]
0.0,2100.0,0.0002770057133206544,0.9982831223040565
0.0334,2100.0,0.0002770057133206544,0.9982831223040565
300.0334,2100.0,0.0002770057133206544,0.9982831223040565
600.0334,2100.0,0.0002770057133206544,0.9982831223040565
900.0334,2100.0,0.0002770057133206544,0.9982831223040565
1200.0334,2100.0,0.0002770057133206544,0.9982831223040565
1500.0334,2100.0,0.0002770057133206544,0.9982831223040565
1800.0334,2100.0,0.0002770057133206544,0.9982831223040565
2100.0334,2100.0,0.0002770057133206544,0.9982831223040565
2400.0334,2340.0,0.00027699948132876634,0.9982831223040565
2700.0334,2700.0,0.00027698926046524497,0.9982831223040565
3000.0334,2940.0,0.000276981282749572,0.9982831223040565
3300.0334,3240.0,0.00027697379637405044,0.9982831223040565
3600.0334,3600.0,0.0002769648300957215,0.9982831223040565
3900.0334,3840.0,0.0002769585864803967,0.9982831223040565
4200.0334,4080.0,0.00027695110588975497,0.9982831223040565
4500.0334,4500.0,0.0002769411162456671,0.9982831223040565
4800.0334,4740.0,0.0002840888595728052,0.9982831223040565
5100.0334,5100.0,0.0002840793684916435,0.9982831223040565
5400.0334,5400.0,0.0002840724062454699,0.9982831223040565
5700.0334,5640.0,0.0002840661525832634,0.9982831223040565
6000.0334,6000.0,0.0002840559529213451,0.9982831223040565
6300.0334,6240.0,0.0002840479748268081,0.9982831223040565
6600.0334,6540.0,0.0002840417427439285,0.9982831223040565
6900.0334,6900.0,0.00028403152156225727,0.9982831223040565
7200.0334,7140.0,0.0002840252894224539,0.9982831223040565
7500.0334,7380.0,0.0002840173112730724,0.9982831223040565
7800.0334,7800.0,0.00028400780274314465,0.9982831223040565
8100.0334,8040.0,0.0002840008580111716,0.9982831223040565
8400.0334,8400.0,0.0002839906368285739,0.9982831223040565
8700.0334,8700.0,0.0002839844047506929,0.9982831223040565
9000.0334,8940.0,0.00028397708863398544,0.9982831223040565
9300.0334,9300.0,0.0002839664092160035,0.9982831223040565
9600.0334,9540.0,0.0002839599732840736,0.9982831223040565
9900.0334,9840.0,0.00028395374114461886,0.9982831223040565
10200.0334,10200.0,0.00029109827559139817,0.9982831223040565
10500.0334,10440.0,0.0002910922429228388,0.9982831223040565
10800.0334,10740.0,0.0002910854586878993,0.9982831223040565
11100.0334,11100.0,0.0002910742369620958,0.9982831223040565
11400.0334,11340.0,0.0002910678105433217,0.9982831223040565
11700.0334,11700.0,0.0002910575891017746,0.9982831223040565
12000.0334,12000.0,0.0002910513567925348,0.9982831223040565
12300.0334,12240.0,0.00029104406368076407,0.9982831223040565
12600.0334,12600.0,0.0002910345878535141,0.9982831223040565
