Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
20401.1333,20400.0333,36,3.547,22.44,3.547,9.152,2.0548,2.0419,2.0524,0.9455,-0.3905,2.49E-03,2.22E+00,2.39E+00,239,169,16,255,115
21001.1333,21000.0333,37,3.51,21.27,3.51,9.0779,2.0568,2.043,2.0527,0.9409,-0.4079,2.89E-03,2.21E+00,2.40E+00,238,167,17,255,115
21601.1333,21600.0333,38,3.533,21.29,3.533,9.1214,2.0578,2.0471,2.0527,0.9411,-0.4077,2.94E-03,2.21E+00,2.41E+00,237,169,18,255,116
22201.1333,22200.0333,39,3.541,21.18,3.541,9.1364,2.057,2.0453,2.0534,0.941,-0.4098,3.27E-03,2.21E+00,2.41E+00,239,168,16,255,115
22801.1333,22800.0333,40,3.414,20.97,3.414,8.8914,2.0346,2.013,2.047,0.9377,-0.4109,3.15E-03,2.21E+00,2.41E+00,237,166,18,255,116
23401.1333,23400.0333,41,3.544,21.25,3.544,9.1397,2.0563,2.0357,2.055,0.9417,-0.409,3.14E-03,2.22E+00,2.42E+00,235,170,20,255,117
24001.1333,24000.0333,42,3.413,20.85,3.413,8.906,2.048,2.0259,2.0345,0.9324,-0.4086,3.02E-03,2.20E+00,2.40E+00,233,166,22,255,118
24601.1333,24600.0333,43,3.468,20.73,3.468,9.0192,2.0501,2.0394,2.0322,0.9311,-0.4099,3.39E-03,2.20E+00,2.40E+00,234,175,21,255,118
25201.1333,25200.0333,44,3.425,20.83,3.425,8.932,2.05,2.0337,2.0325,0.9317,-0.4085,2.98E-03,2.20E+00,2.40E+00,236,168,19,255,116
25801.1333,25800.0333,45,3.443,21.05,3.443,8.9663,2.0481,2.0281,2.0347,0.9334,-0.4056,2.70E-03,2.20E+00,2.41E+00,235,172,20,255,117
26401.1333,26400.0333,46,3.449,20.85,3.449,8.9822,2.0491,2.0323,2.0339,0.9322,-0.4084,2.87E-03,2.20E+00,2.41E+00,235,171,20,255,117
27001.1333,27000.0333,47,3.432,21.03,3.432,8.9506,2.0515,2.038,2.0314,0.9321,-0.405,2.81E-03,2.20E+00,2.40E+00,235,173,20,255,117
27601.1333,27600.0333,48,3.362,20.82,3.362,8.8087,2.051,2.0425,2.0318,0.9314,-0.4083,2.85E-03,2.20E+00,2.41E+00,237,169,18,255,116
28201.1333,28200.0333,49,3.442,20.78,3.442,8.968,2.0507,2.0341,2.0327,0.9313,-0.4091,3.13E-03,2.20E+00,2.41E+00,237,169,18,255,116
28801.1333,28800.0333,50,3.429,20.77,3.429,8.9422,2.0501,2.0366,2.0329,0.9315,-0.4095,3.39E-03,2.20E+00,2.41E+00,236,167,19,255,116
29401.1333,29400.0333,51,3.519,21.03,3.519,9.0929,2.0595,2.0422,2.0526,0.9399,-0.4117,3.43E-03,2.22E+00,2.44E+00,236,168,19,255,116
30001.1333,30000.0333,52,3.373,20.95,3.373,8.8293,2.0502,2.035,2.0326,0.9322,-0.4065,2.97E-03,2.20E+00,2.42E+00,237,168,18,255,116
30601.1333,30600.0333,53,3.368,20.95,3.368,8.8187,2.0507,2.0416,2.0329,0.932,-0.4064,3.01E-03,2.20E+00,2.42E+00,236,175,19,255,116
31201.1333,31200.0333,54,3.402,20.84,3.402,8.8858,2.0503,2.0341,2.0328,0.9318,-0.4082,3.07E-03,2.20E+00,2.42E+00,237,169,18,255,116
31801.1333,31800.0333,55,3.438,20.93,3.438,8.9606,2.0505,2.0391,2.0328,0.932,-0.4068,3.09E-03,2.20E+00,2.42E+00,235,170,20,255,117
32401.1333,32400.0333,56,3.413,20.9,3.413,8.9095,2.0505,2.0378,2.0324,0.932,-0.4072,2.78E-03,2.20E+00,2.42E+00,241,167,14,255,113
33001.1333,33000.0333,57,3.396,21.04,3.396,8.8755,2.0502,2.04,2.0331,0.9326,-0.4052,2.76E-03,2.20E+00,2.43E+00,235,171,20,255,117
33601.1333,33600.0333,58,3.395,20.93,3.395,8.8715,2.0502,2.0345,2.0331,0.9323,-0.4069,2.96E-03,2.20E+00,2.42E+00,237,167,18,255,116
34201.1333,34200.0333,59,3.439,20.92,3.439,8.96,2.0505,2.0389,2.0325,0.9321,-0.407,2.98E-03,2.20E+00,2.43E+00,235,168,20,255,117
34801.1333,34800.0333,60,3.417,20.75,3.417,8.9184,2.0511,2.0387,2.0325,0.9311,-0.4094,3.24E-03,2.20E+00,2.42E+00,236,165,19,255,116
35401.1333,35400.0333,61,3.395,20.62,3.395,8.8757,2.0512,2.0417,2.0321,0.9305,-0.4116,3.21E-03,2.20E+00,2.43E+00,239,170,16,255,115
36001.1333,36000.0333,62,3.535,20.02,3.535,9.1537,2.051,2.0382,2.0326,0.9283,-0.4217,3.00E-03,2.20E+00,2.45E+00,235,167,20,255,117
36601.1333,36600.0333,63,3.47,19.71,3.47,9.0234,2.0515,2.0391,2.0339,0.9271,-0.4274,3.55E-03,2.20E+00,2.46E+00,237,172,18,255,116
37201.1333,37200.0333,64,3.432,19.75,3.432,8.9452,2.0519,2.0371,2.034,0.9273,-0.4268,3.19E-03,2.21E+00,2.47E+00,239,165,16,255,115
37801.1333,37800.0333,65,3.505,19.56,3.505,9.0938,2.0532,2.0456,2.0327,0.9259,-0.4295,3.65E-03,2.20E+00,2.46E+00,235,172,20,255,117
38401.1333,38400.0333,66,3.492,19.68,3.492,9.0674,2.0536,2.0462,2.033,0.9266,-0.4274,3.29E-03,2.20E+00,2.47E+00,236,164,19,255,116
39001.1333,39000.0333,67,3.437,19.85,3.437,8.9557,2.0529,2.0411,2.0334,0.9276,-0.4248,3.21E-03,2.21E+00,2.47E+00,237,173,18,255,116
39601.1333,39600.0333,68,3.464,19.8,3.464,9.0101,2.053,2.0494,2.033,0.9274,-0.4257,2.99E-03,2.21E+00,2.48E+00,237,170,18,255,116
40201.1333,40200.0333,69,3.499,19.93,3.499,9.0811,2.0544,2.0478,2.0327,0.9276,-0.4232,3.28E-03,2.21E+00,2.48E+00,237,169,18,255,116
40801.1333,40800.0333,70,3.436,19.77,3.436,8.9521,2.0524,2.0411,2.0341,0.9275,-0.4264,3.24E-03,2.21E+00,2.48E+00,235,169,20,255,117
41401.1333,41400.0333,71,3.507,19.88,3.507,9.0957,2.0537,2.0436,2.0333,0.9277,-0.4243,3.28E-03,2.21E+00,2.48E+00,238,166,17,255,115
42001.1333,42000.0333,72,3.562,19.59,3.562,9.2128,2.0538,2.0475,2.0327,0.9263,-0.4291,3.76E-03,2.21E+00,2.48E+00,239,170,16,255,115
42601.1333,42600.0333,73,3.483,19.69,3.483,9.0484,2.0533,2.0513,2.0336,0.9268,-0.4275,3.33E-03,2.21E+00,2.49E+00,238,168,17,255,115
43201.1333,43200.0333,74,3.488,19.74,3.488,9.0575,2.0528,2.0455,2.034,0.9272,-0.4267,3.47E-03,2.21E+00,2.49E+00,239,171,16,255,115
43801.1333,43800.0333,75,3.505,19.68,3.505,9.0897,2.053,2.0506,2.0341,0.927,-0.428,3.25E-03,2.21E+00,2.49E+00,237,175,18,255,116
44401.1333,44400.0333,76,3.502,19.83,3.502,9.0828,2.0523,2.0461,2.0346,0.9279,-0.4255,3.24E-03,2.21E+00,2.49E+00,236,171,19,255,116
45001.1333,45000.0333,77,3.552,19.81,3.552,9.1878,2.0523,2.044,2.0349,0.9279,-0.4259,3.13E-03,2.21E+00,2.50E+00,238,177,17,255,115
45601.1333,45600.0333,78,3.511,19.86,3.511,9.1035,2.053,2.0476,2.0341,0.9279,-0.4248,3.61E-03,2.21E+00,2.50E+00,235,175,20,255,117
46201.1333,46200.0333,79,3.489,19.99,3.489,9.058,2.0525,2.0462,2.0348,0.9287,-0.4229,3.11E-03,2.21E+00,2.50E+00,235,168,20,255,117
46801.1333,46800.0333,80,3.477,19.87,3.477,9.0358,2.0532,2.0457,2.0332,0.9277,-0.4245,3.13E-03,2.21E+00,2.49E+00,238,172,17,255,115
47401.1333,47400.0333,81,3.489,20.04,3.489,9.0585,2.0525,2.0476,2.0348,0.9289,-0.422,3.07E-03,2.21E+00,2.50E+00,237,169,18,255,116
48001.1333,48000.0333,82,3.496,19.66,3.496,9.0736,2.0535,2.0496,2.0336,0.9267,-0.4281,3.16E-03,2.21E+00,2.50E+00,238,172,17,255,115
48601.1333,48600.0333,83,3.52,19.83,3.52,9.118,2.0517,2.0454,2.0353,0.9282,-0.4257,3.48E-03,2.21E+00,2.51E+00,237,165,18,255,116
49201.1333,49200.0333,84,3.551,19.65,3.551,9.1855,2.0521,2.0475,2.0348,0.9272,-0.4288,3.26E-03,2.22E+00,2.51E+00,237,166,18,255,116
49801.1333,49800.0333,85,3.461,19.77,3.461,9.0031,2.0517,2.0502,2.0354,0.9279,-0.4267,3.33E-03,2.22E+00,2.51E+00,237,168,18,255,116
50401.1333,50400.0333,86,3.489,19.73,3.489,9.0559,2.0517,2.0522,2.035,0.9277,-0.4275,3.09E-03,2.21E+00,2.51E+00,238,163,17,255,115
51001.1333,51000.0333,87,3.461,19.85,3.461,9.004,2.0519,2.0522,2.0354,0.9283,-0.4254,3.23E-03,2.22E+00,2.51E+00,239,171,16,255,115
51601.1333,51600.0333,88,3.553,18.95,3.553,9.1831,2.0525,2.0471,2.0361,0.9241,-0.4415,3.08E-03,2.21E+00,2.55E+00,241,168,14,255,113
52201.1333,52200.0333,89,3.639,18.82,3.639,9.361,2.0532,2.0477,2.0364,0.9235,-0.4441,3.57E-03,2.22E+00,2.55E+00,239,174,16,255,115
52801.1333,52800.0333,90,3.555,18.85,3.555,9.187,2.053,2.0493,2.0368,0.9237,-0.4435,3.31E-03,2.22E+00,2.55E+00,239,166,16,255,115
53401.1333,53400.0333,91,3.522,18.76,3.522,9.1198,2.0533,2.0488,2.0363,0.9232,-0.4452,3.28E-03,2.22E+00,2.56E+00,236,169,19,255,116
54001.1333,54000.0333,92,3.546,18.74,3.546,9.1691,2.0538,2.0489,2.0361,0.923,-0.4456,3.39E-03,2.22E+00,2.56E+00,234,163,21,255,118
54601.1333,54600.0333,93,3.591,18.83,3.591,9.259,2.0528,2.0486,2.0369,0.9237,-0.4441,3.26E-03,2.22E+00,2.57E+00,239,169,16,255,115
55201.1333,55200.0333,94,3.59,18.91,3.59,9.2589,2.0535,2.0495,2.036,0.924,-0.4424,3.37E-03,2.22E+00,2.56E+00,237,167,18,255,116
55801.1333,55800.0333,95,3.632,19.14,3.632,9.3189,2.0668,2.0557,2.0526,0.9309,-0.4438,3.24E-03,2.24E+00,2.59E+00,234,167,21,255,118
56401.1333,56400.0333,96,3.516,18.89,3.516,9.1106,2.0536,2.0527,2.0365,0.924,-0.4428,3.28E-03,2.22E+00,2.57E+00,237,171,18,255,116
57001.1333,57000.0333,97,3.588,18.9,3.588,9.2545,2.0534,2.0498,2.0365,0.924,-0.4426,3.33E-03,2.23E+00,2.57E+00,235,166,20,255,117
57601.1333,57600.0333,98,3.545,18.93,3.545,9.166,2.0541,2.0534,2.0359,0.924,-0.4419,3.22E-03,2.22E+00,2.57E+00,237,167,18,255,116
58201.1333,58200.0333,99,3.547,18.77,3.547,9.1695,2.0534,2.0487,2.0364,0.9235,-0.4451,3.52E-03,2.22E+00,2.58E+00,239,167,16,255,115
58801.1333,58800.0333,100,3.566,18.83,3.566,9.2088,2.0539,2.052,2.0362,0.9235,-0.444,3.20E-03,2.22E+00,2.58E+00,235,167,20,255,117
59401.1333,59400.0333,101,3.574,18.77,3.574,9.2247,2.053,2.0515,2.0372,0.9236,-0.4453,3.24E-03,2.23E+00,2.58E+00,237,171,18,255,116
60001.1333,60000.0333,102,3.557,18.94,3.557,9.1913,2.0533,2.0488,2.0368,0.9243,-0.4421,3.39E-03,2.22E+00,2.59E+00,236,178,19,255,116
60601.1333,60600.0333,103,3.573,18.71,3.573,9.2226,2.053,2.0505,2.037,0.9232,-0.4464,3.26E-03,2.22E+00,2.59E+00,238,167,17,255,115
61201.1333,61200.0333,104,3.512,18.93,3.512,9.1076,2.0576,2.0432,2.0328,0.9228,-0.4407,3.22E-03,2.22E+00,2.59E+00,233,168,22,255,118
61801.1333,61800.0333,105,3.543,19.01,3.543,9.1607,2.0529,2.0516,2.0375,0.9249,-0.4409,2.99E-03,2.22E+00,2.60E+00,237,171,18,255,116
62401.1333,62400.0333,106,3.562,18.71,3.562,9.2005,2.0527,2.0523,2.0374,0.9234,-0.4465,3.61E-03,2.22E+00,2.60E+00,235,167,20,255,117
63001.1333,63000.0333,107,3.53,18.77,3.53,9.1357,2.0529,2.0498,2.0374,0.9236,-0.4455,3.48E-03,2.22E+00,2.59E+00,235,169,20,255,117
63601.1333,63600.0333,108,3.593,18.64,3.593,9.2709,2.0576,2.044,2.0327,0.9213,-0.4463,3.20E-03,2.22E+00,2.59E+00,233,168,22,255,118
64201.1333,64200.0333,109,3.577,19.02,3.577,9.2299,2.0525,2.0504,2.0374,0.9251,-0.4409,3.30E-03,2.23E+00,2.60E+00,236,165,19,255,116
64801.1333,64800.0333,110,3.523,18.97,3.523,9.1213,2.0529,2.0481,2.0373,0.9247,-0.4416,3.22E-03,2.22E+00,2.60E+00,235,172,20,255,117
65401.1333,65400.0333,111,3.55,18.75,3.55,9.1774,2.0528,2.0525,2.0373,0.9234,-0.4458,3.36E-03,2.22E+00,2.60E+00,235,171,20,255,117
