Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
39601.1333,39600.0333,68,4.755,4.755,11.324,2.0601,2.0122,255,175,0,255,105
40201.1333,40200.0333,69,4.769,4.769,11.352,2.0601,2.0122,255,179,0,255,105
40801.1333,40800.0333,70,4.772,4.772,11.358,2.0597,2.0122,255,176,0,255,105
41401.1333,41400.0333,71,4.772,4.772,11.357,2.0601,2.0122,255,180,0,255,105
42001.1333,42000.0333,72,4.764,4.764,11.342,2.06,2.0122,255,178,0,255,105
42601.1333,42600.0333,73,4.764,4.764,11.34,2.0603,2.0122,255,181,0,255,105
43201.1333,43200.0333,74,4.766,4.766,11.346,2.0606,2.0122,255,177,0,255,105
43801.1333,43800.0333,75,4.777,4.777,11.369,2.0614,2.0122,255,179,0,255,105
44401.1333,44400.0333,76,4.778,4.778,11.37,2.0598,2.0122,255,178,0,255,105
45001.1333,45000.0333,77,4.767,4.767,11.347,2.0599,2.0122,255,180,0,255,105
45601.1333,45600.0333,78,4.758,4.758,11.329,2.0602,2.0122,255,178,0,255,105
46201.1333,46200.0333,79,4.769,4.769,11.351,2.0608,2.0122,255,180,0,255,105
46801.1333,46800.0333,80,4.765,4.765,11.344,2.0604,2.0122,255,177,0,255,105
47401.1333,47400.0333,81,4.757,4.757,11.328,2.0607,2.0122,255,179,0,255,105
48001.1333,48000.0333,82,4.766,4.766,11.344,2.0598,2.0379,255,179,0,255,105
48601.1333,48600.0333,83,4.851,4.851,11.504,2.0601,2.0122,255,179,0,255,105
49201.1333,49200.0333,84,4.829,4.829,11.457,2.0614,2.0379,255,179,0,255,105
49801.1333,49800.0333,85,4.85,4.85,11.5,2.0615,2.0379,255,178,0,255,105
50401.1333,50400.0333,86,4.85,4.85,11.498,2.062,2.0379,255,178,0,255,105
51001.1333,51000.0333,87,4.848,4.848,11.494,2.0622,2.0379,255,178,0,255,105
51601.1333,51600.0333,88,4.853,4.853,11.504,2.0616,2.0379,255,179,0,255,105
52201.1333,52200.0333,89,4.87,4.87,11.539,2.061,2.0379,255,180,0,255,105
52801.1333,52800.0333,90,4.834,4.834,11.466,2.062,2.0465,255,178,0,255,105
53401.1333,53400.0333,91,4.837,4.837,11.473,2.0618,2.0465,255,177,0,255,105
54001.1333,54000.0333,92,4.841,4.841,11.48,2.0617,2.0465,255,178,0,255,105
54601.1333,54600.0333,93,4.83,4.83,11.456,2.0624,2.0465,255,178,0,255,105
55201.1333,55200.0333,94,4.853,4.853,11.504,2.062,2.0122,255,178,0,255,105
55801.1333,55800.0333,95,4.845,4.845,11.489,2.0618,2.0122,255,178,0,255,105
56401.1333,56400.0333,96,4.864,4.864,11.524,2.0621,2.0122,255,178,0,255,105
57001.1333,57000.0333,97,4.83,4.83,11.458,2.0621,2.0122,255,178,0,255,105
57601.1333,57600.0333,98,4.862,4.862,11.52,2.0624,2.0122,255,178,0,255,105
58201.1333,58200.0333,99,4.838,4.838,11.473,2.0617,2.0294,255,179,0,255,105
58801.1333,58800.0333,100,4.847,4.847,11.491,2.0618,2.0294,255,176,0,255,105
59401.1333,59400.0333,101,4.844,4.844,11.486,2.0617,2.0294,255,178,0,255,105
60001.1333,60000.0333,102,4.845,4.845,11.487,2.0623,2.0294,255,179,0,255,105
