Run,Graph,Index           Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,Dist,Dist            IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
22201.1333,22200.0333,39,21.92,3.71,9.4323,2.0556,2.0402,2.0808,0.9545,-0.407,2.98E-03,2.2417,2.4438,250,170,5,255,108
22801.1333,22800.0333,40,21.95,3.724,9.4608,2.0547,2.0402,2.0811,0.9545,-0.4065,2.88E-03,2.2452,2.4484,249,171,6,255,109
23401.1333,23400.0333,41,22.07,3.681,9.3744,2.055,2.0316,2.0817,0.9552,-0.4049,2.91E-03,2.2471,2.4515,247,166,8,255,110
24001.1333,24000.0333,42,21.96,3.683,9.3774,2.0545,2.0316,2.082,0.9548,-0.4066,2.94E-03,2.2487,2.4523,249,171,6,255,109
24601.1333,24600.0333,43,21.87,3.697,9.4047,2.0551,2.0316,2.0818,0.9544,-0.4079,3.36E-03,2.2504,2.4569,248,170,7,255,109
25201.1333,25200.0333,44,22.09,3.706,9.4227,2.0551,2.0316,2.082,0.9555,-0.4048,2.84E-03,2.2507,2.4586,248,170,7,255,109
25801.1333,25800.0333,45,22.01,3.687,9.3857,2.0556,2.0402,2.0823,0.9551,-0.4059,2.76E-03,2.2516,2.4615,249,170,6,255,109
26401.1333,26400.0333,46,21.89,3.7,9.4118,2.0555,2.0316,2.0825,0.9547,-0.4076,2.91E-03,2.2527,2.4658,249,165,6,255,109
27001.1333,27000.0333,47,22.03,3.695,9.4006,2.0554,2.0316,2.0824,0.9553,-0.4056,2.97E-03,2.2512,2.4637,249,170,6,255,109
27601.1333,27600.0333,48,22,3.701,9.4128,2.0556,2.0059,2.0823,0.9552,-0.406,2.80E-03,2.2533,2.4743,249,169,6,255,109
28201.1333,28200.0333,49,21.84,3.701,9.4119,2.0556,2.0144,2.0829,0.9545,-0.4086,3.18E-03,2.2532,2.4662,250,167,5,255,108
28801.1333,28800.0333,50,21.91,3.712,9.4343,2.056,2.0144,2.0825,0.9548,-0.4074,3.31E-03,2.2515,2.4697,247,166,8,255,110
29401.1333,29400.0333,51,21.76,3.7,9.4109,2.0556,2.0402,2.0825,0.9543,-0.4098,3.18E-03,2.2554,2.4742,247,166,8,255,110
30001.1333,30000.0333,52,22.05,3.708,9.4273,2.0557,2.0402,2.0824,0.9553,-0.4053,2.94E-03,2.254,2.4764,247,169,8,255,110
30601.1333,30600.0333,53,21.99,3.705,9.42,2.056,2.0402,2.0831,0.9552,-0.4062,2.88E-03,2.2549,2.4753,248,172,7,255,109
31201.1333,31200.0333,54,22.06,3.711,9.4322,2.0557,2.0402,2.0826,0.9555,-0.4052,2.94E-03,2.2568,2.4771,247,170,8,255,110
31801.1333,31800.0333,55,21.94,3.695,9.4024,2.0562,2.023,2.0829,0.955,-0.4071,3.15E-03,2.2532,2.4813,247,168,8,255,110
32401.1333,32400.0333,56,22.15,3.696,9.4036,2.0558,2.023,2.0824,0.9558,-0.4039,2.66E-03,2.2575,2.4808,247,172,8,255,110
33001.1333,33000.0333,57,22.13,3.704,9.4203,2.0547,2.023,2.0828,0.9558,-0.4043,2.63E-03,2.2549,2.4916,250,166,5,255,108
33601.1333,33600.0333,58,22.07,3.703,9.4162,2.056,2.0316,2.0828,0.9556,-0.4052,2.91E-03,2.2548,2.4833,247,169,8,255,110
34201.1333,34200.0333,59,22.07,3.696,9.4019,2.0566,2.0316,2.0825,0.9556,-0.4051,2.92E-03,2.2525,2.4894,249,167,6,255,109
34801.1333,34800.0333,60,22.08,3.703,9.4183,2.0557,2.0316,2.0831,0.9556,-0.405,3.00E-03,2.2585,2.4831,247,169,8,255,110
35401.1333,35400.0333,61,21.93,3.709,9.4294,2.0562,2.0316,2.0828,0.955,-0.4072,2.92E-03,2.2567,2.4854,248,172,7,255,109
36001.1333,36000.0333,62,20.76,3.746,9.4983,2.0566,2.0316,2.0832,0.9514,-0.4214,2.98E-03,2.2585,2.5063,247,169,8,255,110
36601.1333,36600.0333,63,20.55,3.764,9.5329,2.0562,2.023,2.085,0.951,-0.4254,3.56E-03,2.259,2.5199,249,170,6,255,109
37201.1333,37200.0333,64,20.74,3.781,9.5637,2.0577,2.0402,2.0854,0.952,-0.4226,2.99E-03,2.2636,2.5323,249,170,6,255,109
37801.1333,37800.0333,65,20.58,3.754,9.5119,2.0575,2.0402,2.0855,0.9512,-0.425,3.61E-03,2.262,2.525,251,166,4,255,108
