Run,Graph,Index,Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
21001.1333,21000.0333,37,4.512,27.41,4.512,10.944,2.0652,2.0487,2.14E+00,0.9954,-0.3542,2.59E-03,2.0817,2.2295,251,175,4,255,108
21601.1333,21600.0333,38,4.574,27.4,4.574,11.069,2.0378,2.0346,2.14E+00,0.9957,-0.3546,2.89E-03,2.0804,2.2318,254,177,1,255,106
22201.1333,22200.0333,39,4.52,27.36,4.52,10.958,2.0377,2.0302,2.14E+00,0.9957,-0.3551,2.64E-03,2.0818,2.231,254,178,1,255,106
22801.1333,22800.0333,40,4.573,27.17,4.573,11.067,2.038,2.0343,2.14E+00,0.9948,-0.357,3.01E-03,2.0808,2.2312,253,175,2,255,106
23401.1333,23400.0333,41,4.5,27.46,4.5,10.917,2.0381,2.0316,2.14E+00,0.9959,-0.354,2.60E-03,2.0824,2.2326,254,176,1,255,106
24001.1333,24000.0333,42,4.506,27.39,4.506,10.93,2.038,2.0312,2.14E+00,0.9957,-0.3547,2.38E-03,2.0812,2.2347,253,177,2,255,106
24601.1333,24600.0333,43,4.552,27.31,4.552,11.024,2.0384,2.0301,2.14E+00,0.9952,-0.3554,2.66E-03,2.0829,2.225,253,176,2,255,106
25201.1333,25200.0333,44,4.546,27.38,4.546,11.009,2.0378,2.0296,2.14E+00,0.9958,-0.3549,2.52E-03,2.0843,2.2305,253,176,2,255,106
25801.1333,25800.0333,45,4.555,27.23,4.555,11.029,2.0384,2.0322,2.14E+00,0.995,-0.3563,2.99E-03,2.0825,2.2343,255,176,0,255,105
26401.1333,26400.0333,46,4.49,27.14,4.49,10.897,2.0383,2.0307,2.14E+00,0.9948,-0.3573,2.53E-03,2.0828,2.23,253,173,2,255,106
27001.1333,27000.0333,47,4.5,27.34,4.5,10.917,2.0382,2.0323,2.14E+00,0.9954,-0.3551,3.08E-03,2.0823,2.2333,253,176,2,255,106
27601.1333,27600.0333,48,4.524,27.27,4.524,10.965,2.0381,2.0314,2.14E+00,0.9953,-0.356,3.13E-03,2.081,2.2325,253,175,2,255,106
28201.1333,28200.0333,49,4.493,27.3,4.493,10.903,2.0381,2.0312,2.14E+00,0.9954,-0.3557,2.99E-03,2.083,2.2308,252,175,3,255,107
28801.1333,28800.0333,50,4.504,27.41,4.504,10.926,2.0382,2.0311,2.14E+00,0.9957,-0.3545,2.66E-03,2.0817,2.2345,254,182,1,255,106
29401.1333,29400.0333,51,4.547,27.43,4.547,11.011,2.0382,2.0314,2.14E+00,0.9958,-0.3542,2.61E-03,2.0812,2.2309,254,175,1,255,106
30001.1333,30000.0333,52,4.549,27.34,4.549,11.018,2.0386,2.0326,2.14E+00,0.9953,-0.3552,3.06E-03,2.0824,2.2323,254,177,1,255,106
30601.1333,30600.0333,53,4.59,26.56,4.59,11.095,2.0388,2.0328,2.14E+00,0.9932,-0.364,2.49E-03,2.0819,2.2451,253,176,2,255,106
31201.1333,31200.0333,54,4.55,26.38,4.55,11.014,2.0393,2.0327,2.14E+00,0.9928,-0.3661,2.70E-03,2.0855,2.2489,255,177,0,255,105
31801.1333,31800.0333,55,4.542,26.39,4.542,10.997,2.0393,2.0339,2.14E+00,0.9928,-0.3661,3.07E-03,2.0871,2.2545,253,174,2,255,106
32401.1333,32400.0333,56,4.613,26.54,4.613,11.14,2.0394,2.0368,2.14E+00,0.9934,-0.3643,2.49E-03,2.0886,2.2511,255,177,0,255,105
33001.1333,33000.0333,57,4.543,26.42,4.543,11,2.0396,2.0341,2.14E+00,0.9929,-0.3656,2.87E-03,2.0853,2.2464,255,178,0,255,105
33601.1333,33600.0333,58,4.54,26.79,4.54,10.992,2.0394,2.0335,2.14E+00,0.9944,-0.3618,2.57E-03,2.0876,2.2531,255,178,0,255,105
34201.1333,34200.0333,59,4.587,26.45,4.587,11.089,2.0393,2.0323,2.14E+00,0.9931,-0.3653,3.14E-03,2.0857,2.2516,254,187,1,255,106
34801.1333,34800.0333,60,4.595,26.37,4.595,11.105,2.0397,2.0345,2.14E+00,0.9927,-0.3662,3.09E-03,2.0885,2.2539,254,176,1,255,106
35401.1333,35400.0333,61,4.596,26.39,4.596,11.104,2.0393,2.0324,2.14E+00,0.9929,-0.3661,2.76E-03,2.0881,2.2549,253,174,2,255,106
36001.1333,36000.0333,62,4.543,26.73,4.543,10.999,2.0397,2.0333,2.14E+00,0.9941,-0.3624,2.74E-03,2.0895,2.263,255,178,0,255,105
36601.1333,36600.0333,63,4.549,26.36,4.549,11.015,2.0679,2.0534,2.14E+00,0.9921,-0.366,3.00E-03,2.0859,2.2583,253,176,2,255,106
37201.1333,37200.0333,64,4.579,26.51,4.579,11.078,2.0688,2.0614,2.14E+00,0.9923,-0.364,2.91E-03,2.0877,2.2594,253,176,2,255,106
37801.1333,37800.0333,65,4.604,26.51,4.604,11.123,2.0402,2.0355,2.14E+00,0.9932,-0.3647,2.60E-03,2.0902,2.2569,255,179,0,255,105
38401.1333,38400.0333,66,4.519,26.41,4.519,10.948,2.0395,2.0344,2.14E+00,0.9932,-0.366,2.45E-03,2.0927,2.2631,255,177,0,255,105
39001.1333,39000.0333,67,4.489,26.26,4.489,10.887,2.0396,2.0325,2.14E+00,0.9926,-0.3677,2.97E-03,2.0911,2.2625,255,176,0,255,105
39601.1333,39600.0333,68,4.509,26.38,4.509,10.929,2.0398,2.0332,2.14E+00,0.9929,-0.3662,2.55E-03,2.0913,2.2604,254,179,1,255,106
40201.1333,40200.0333,69,4.496,26.5,4.496,10.903,2.0397,2.0357,2.14E+00,0.9935,-0.365,2.48E-03,2.0915,2.2641,255,176,0,255,105
40801.1333,40800.0333,70,4.474,26.41,4.474,10.857,2.0394,2.0353,2.14E+00,0.9932,-0.3661,2.45E-03,2.092,2.2655,255,176,0,255,105
41401.1333,41400.0333,71,4.578,26.77,4.578,11.068,2.0398,2.0349,2.14E+00,0.9943,-0.3619,2.56E-03,2.0907,2.2654,255,176,0,255,105
42001.1333,42000.0333,72,4.598,26.48,4.598,11.111,2.0396,2.036,2.14E+00,0.9933,-0.3651,3.29E-03,2.0932,2.2633,253,176,2,255,106
42601.1333,42600.0333,73,4.49,26.28,4.49,10.889,2.0399,2.038,2.14E+00,0.9927,-0.3674,2.91E-03,2.0905,2.2628,255,177,0,255,105
43201.1333,43200.0333,74,4.546,26.25,4.546,11.004,2.0399,2.0337,2.14E+00,0.9924,-0.3678,3.30E-03,2.0898,2.2643,255,176,0,255,105
43801.1333,43800.0333,75,4.53,26.75,4.53,10.973,2.0398,2.0381,2.14E+00,0.9942,-0.3622,3.94E-03,2.0904,2.2658,255,178,0,255,105
44401.1333,44400.0333,76,4.48,26.47,4.48,10.868,2.0395,2.0365,2.14E+00,0.9934,-0.3654,2.48E-03,2.0913,2.2672,255,174,0,255,105
45001.1333,45000.0333,77,4.53,26.33,4.53,10.979,2.0688,2.057,2.14E+00,0.9918,-0.3661,2.85E-03,2.0898,2.2612,253,178,2,255,106
45601.1333,45600.0333,78,4.571,26.45,4.571,11.065,2.0693,2.0612,2.14E+00,0.9919,-0.3646,3.24E-03,2.0889,2.2575,253,187,2,255,106
46201.1333,46200.0333,79,4.505,26.34,4.505,10.928,2.0689,2.0566,2.14E+00,0.9918,-0.366,2.60E-03,2.0922,2.2614,254,177,1,255,106
46801.1333,46800.0333,80,4.535,26.44,4.535,10.986,2.0678,2.05,2.14E+00,0.9926,-0.3651,2.52E-03,2.0908,2.2615,253,178,2,255,106
47401.1333,47400.0333,81,4.487,26.68,4.487,10.87,2.0618,2.0485,2.15E+00,0.9958,-0.3643,2.79E-03,2.0964,2.2656,253,177,2,255,106
48001.1333,48000.0333,82,4.508,26.45,4.508,10.932,2.068,2.05,2.14E+00,0.9925,-0.365,2.50E-03,2.0936,2.2697,253,176,2,255,106
48601.1333,48600.0333,83,4.587,25.19,4.587,11.082,2.0683,2.0485,2.14E+00,0.9887,-0.3802,2.61E-03,2.0942,2.2863,252,177,3,255,107
49201.1333,49200.0333,84,4.531,25.07,4.531,10.97,2.0694,2.0554,2.14E+00,0.9881,-0.3816,2.86E-03,2.0959,2.2856,252,178,3,255,107
