:************************
:    TREND DATA FILE
:************************
No.,DATE,TIME,TEMP4_PV,TEMP4_SV,Julabo_Ext_PV,Julabo_Int_PV,Julabo_SV,BALANCE POSITION,WEITGHT(g),Attention pressure gauge,Now Pressure(kPa),P1(kPa),P2(kPa),P3(kPa),P4(kPa),P5(Pa),P6(Pa),V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,TMP_START,P5_HV,C_PUMP,C1,C2,Julabo_CTRL
 18 ,07-01-2019,19:09:51,25.8,0.0,60.1,86.8,86.8,2.0,8.02101,P4,0.460,-10.300,-5.661,0.570,0.460,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4095,Int-CTRL
 19 ,07-01-2019,19:10:21,25.9,0.0,60.1,86.8,86.8,2.0,8.02093,P4,0.346,-10.300,-5.768,0.448,0.346,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4095,Int-CTRL
 20 ,07-01-2019,19:10:51,25.9,0.0,60.1,86.8,86.8,2.0,8.02087,P4,0.313,-9.888,-5.875,0.419,0.313,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4095,Int-CTRL
 21 ,07-01-2019,19:11:21,26.1,0.0,60.1,86.8,86.8,2.0,8.02079,P4,0.305,-10.712,-5.875,0.411,0.305,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4095,Int-CTRL
 22 ,07-01-2019,19:11:51,25.8,0.0,60.1,86.8,86.8,2.0,8.02074,P4,0.302,-10.300,-5.875,0.411,0.302,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4095,Int-CTRL
 23 ,07-01-2019,19:12:21,26.0,0.0,60.1,86.8,86.8,2.0,8.02066,P4,0.301,-9.476,-5.875,0.411,0.301,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4095,Int-CTRL
 24 ,07-01-2019,19:12:51,26.0,0.0,60.1,86.8,86.8,2.0,8.02059,P4,0.300,-9.888,-5.875,0.411,0.300,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Int-CTRL
 25 ,07-01-2019,19:13:21,25.7,0.0,60.1,86.8,86.8,2.0,8.02055,P4,0.298,-10.300,-5.875,0.407,0.298,0.0E+0,2.5E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Int-CTRL
 26 ,07-01-2019,19:13:51,25.7,0.0,60.1,86.8,86.8,2.0,8.02051,P4,0.141,-9.888,-5.875,0.256,0.141,0.0E+0,2.6E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Int-CTRL
 27 ,07-01-2019,19:14:21,25.9,0.0,60.1,86.8,86.8,2.0,8.02045,P4,0.014,-10.300,-5.875,0.126,0.014,0.0E+0,2.6E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Int-CTRL
 28 ,07-01-2019,19:14:51,25.9,0.0,60.1,86.8,86.8,2.0,8.02040,P4,0.002,-10.300,-5.875,0.114,0.002,0.0E+0,2.6E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Int-CTRL
 29 ,07-01-2019,19:15:21,25.9,0.0,60.1,86.8,86.8,2.0,8.02034,P4,0.002,-9.888,-5.982,0.114,0.002,0.0E+0,2.6E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Int-CTRL
 30 ,07-01-2019,19:15:51,25.7,0.0,60.2,86.8,86.8,2.0,8.02029,P4,0.002,-9.888,-5.982,0.114,0.002,0.0E+0,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Int-CTRL
 31 ,07-01-2019,19:16:21,26.1,0.0,60.2,86.8,86.8,2.0,8.02024,P4,0.002,-10.300,-6.088,0.114,0.002,0.0E+0,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Int-CTRL
 32 ,07-01-2019,19:16:51,25.8,0.0,60.1,86.8,86.8,2.0,8.02026,P4,0.003,-10.300,-6.088,0.114,0.003,1.3E-3,2.8E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Int-CTRL
