No,sec,Time,Julabo_ex_pv(°C),Pressure(Pa),P_slope,,,Weight(g),W_slope,,,Interval
 0 , 23034.531 ,00:46:48,59.85,,,,,8.015530,,,0.000030,/90sec
 0 , 23124.547 ,00:48:19,59.87,,,,,8.015540,,,0.000030,/90sec
 0 , 23214.812 ,00:49:49,59.89,,,,,8.015530,,,0.000030,/90sec
 0 , 23304.844 ,00:51:19,59.89,,,,,8.015530,,,0.000030,/90sec
 0 , 23394.578 ,00:52:49,59.90,,,,,8.015530,,,0.000030,/90sec
 0 , 23484.453 ,00:54:18,59.90,,,,,8.015520,,,0.000030,/90sec
 0 , 23574.734 ,00:55:49,59.87,,,,,8.015520,,,0.000030,/90sec
 0 , 23664.703 ,00:57:19,59.82,,,,,8.015500,,,0.000030,/90sec
 0 , 23754.703 ,00:58:49,59.82,,,,,8.015510,,,0.000030,/90sec
 0 , 23844.89 ,01:00:19,59.82,,,,,8.015510,,,0.000030,/90sec
 0 , 23935.125 ,01:01:49,59.84,,,,,8.015510,-0.0000032,<,0.000030,/90sec
 1 , 25600.797 ,01:29:35,59.77,49823,,,,8.012300,,,0.000030,/300sec
 1 , 25900.828 ,01:34:35,59.81,49835,,,,8.012330,,,0.000030,/300sec
 1 , 26201.203 ,01:39:35,59.84,49843,,,,8.012340,,,0.000030,/300sec
 1 , 26500.812 ,01:44:35,59.77,49831,,,,8.012360,,,0.000030,/300sec
 1 , 26801.25 ,01:49:35,59.82,49839,,,,8.012390,,,0.000030,/300sec
 1 , 27101.094 ,01:54:35,59.84,49843,,,,8.012410,,,0.000030,/300sec
 1 , 27400.687 ,01:59:35,59.78,49839,,,,8.012410,,,0.000030,/300sec
 1 , 27700.922 ,02:04:35,59.83,49839,,,,8.012440,,,0.000030,/300sec
 1 , 28001.375 ,02:09:35,59.85,49847,,,,8.012430,,,0.000030,/300sec
 1 , 28301.219 ,02:14:35,59.80,49843,,,,8.012420,,,0.000030,/300sec
 1 , 28601.312 ,02:19:35,59.85,49851,1.849,<,5.000,8.012430,0.0000133,<,0.000030,/300sec
 2 , 29582.297 ,02:35:56,59.89,99993,,,,8.009470,,,0.000030,/300sec
 2 , 29882.125 ,02:40:56,59.90,99972,,,,8.009550,,,0.000030,/300sec
 2 , 30182.562 ,02:45:57,59.84,99940,,,,8.009590,,,0.000030,/300sec
 2 , 30482.39 ,02:50:56,59.88,99923,,,,8.009650,,,0.000030,/300sec
 2 , 30782.625 ,02:55:57,59.91,99911,,,,8.009700,,,0.000030,/300sec
 2 , 31082.265 ,03:00:56,59.83,99887,,,,8.009720,,,0.000030,/300sec
 2 , 31382.203 ,03:05:56,59.88,99875,,,,8.009770,,,0.000030,/300sec
 2 , 31682.515 ,03:10:56,59.89,99875,,,,8.009810,,,0.000030,/300sec
 2 , 31982.328 ,03:15:56,59.81,99850,,,,8.009840,,,0.000030,/300sec
 2 , 32282.64 ,03:20:57,59.86,99846,,,,8.009880,,,0.000030,/300sec
 2 , 32582.062 ,03:25:56,59.90,99846,-14.906,>=,5.000,8.009890,0.0000415,>=,0.000030,/300sec
 2 , 32882.359 ,03:30:56,59.82,99830,-13.204,>=,5.000,8.009900,0.0000365,>=,0.000030,/300sec
