Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
1.1,0,1,4.931,4.931,11.766,2.0859,2.0419,255,211,0,255,105
1.1333,0.0333,2,4.932,4.932,11.768,2.0858,2.0419,255,213,0,255,105
301.1333,300.0333,3,4.994,4.994,11.908,2.0901,2.0676,255,208,0,255,105
601.1333,600.0333,4,4.998,4.998,11.911,2.0898,2.0676,255,217,0,255,105
901.1333,900.0333,5,5.01,5.01,11.939,2.088,2.0676,255,210,0,255,105
1201.1333,1200.0333,6,4.988,4.988,11.897,2.0877,2.0419,255,211,0,255,105
1501.1333,1500.0333,7,4.973,4.973,11.87,2.087,2.0419,255,211,0,255,105
1801.1333,1800.0333,8,4.985,4.985,11.891,2.0881,2.0419,255,217,0,255,105
2101.1333,2100.0333,9,4.968,4.968,11.855,2.0891,2.0762,255,212,0,255,105
2401.1333,2400.0333,10,4.959,4.959,11.84,2.0881,2.0762,255,222,0,255,105
2701.1333,2700.0333,11,4.965,4.965,11.851,2.0876,2.0762,255,237,0,255,105
3001.1333,3000.0333,12,4.96,4.96,11.841,2.0875,2.0762,255,209,0,255,105
3301.1333,3300.0333,13,4.975,4.975,11.867,2.089,2.0505,255,212,0,255,105
3601.1333,3600.0333,14,4.977,4.977,11.872,2.0886,2.0505,255,211,0,255,105
3901.1333,3900.0333,15,4.967,4.967,11.852,2.0887,2.0505,255,212,0,255,105
4201.1333,4200.0333,16,4.967,4.967,11.852,2.0886,2.0419,255,233,0,255,105
4501.1333,4500.0333,17,4.947,4.947,11.813,2.089,2.0419,255,211,0,255,105
4801.1333,4800.0333,18,4.957,4.957,11.835,2.0884,2.0419,255,211,0,255,105
5101.1333,5100.0333,19,4.964,4.964,11.849,2.088,2.0419,255,218,0,255,105
5401.1333,5400.0333,20,4.962,4.962,11.843,2.0889,2.0419,255,214,0,255,105
5701.1333,5700.0333,21,4.963,4.963,11.845,2.0881,2.0419,255,212,0,255,105
6001.1333,6000.0333,22,4.974,4.974,11.864,2.0889,2.0419,255,232,0,255,105
