Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
7921.1333,7920.0333,68,4.464,4.464,10.823,2.0624,2.0247,255,223,0,255,105
8041.1333,8040.0333,69,4.445,4.445,10.788,2.0621,2.0247,255,220,0,255,105
8161.1333,8160.0333,70,4.462,4.462,10.821,2.0636,2.0247,255,214,0,255,105
8281.1333,8280.0333,71,4.434,4.434,10.771,2.0595,2.0247,255,211,0,255,105
8401.1333,8400.0333,72,4.461,4.461,10.82,2.0618,2.0162,255,212,0,255,105
8521.1333,8520.0333,73,4.477,4.477,10.85,2.0621,2.0162,255,208,0,255,105
8641.1333,8640.0333,74,4.454,4.454,10.805,2.0623,2.0333,255,209,0,255,105
8761.1333,8760.0333,75,4.456,4.456,10.807,2.0628,2.0247,255,215,0,255,105
8881.1333,8880.0333,76,4.449,4.449,10.796,2.0619,2.0247,255,209,0,255,105
9001.1333,9000.0333,77,4.45,4.45,10.798,2.0622,2.0247,255,210,0,255,105
9121.1333,9120.0333,78,4.447,4.447,10.791,2.0626,2.0247,255,210,0,255,105
9241.1333,9240.0333,79,4.444,4.444,10.785,2.0618,2.0247,255,221,0,255,105
9361.1333,9360.0333,80,4.441,4.441,10.779,2.0619,2.0247,255,222,0,255,105
9481.1333,9480.0333,81,4.461,4.461,10.82,2.0614,2.0247,255,217,0,255,105
9601.1333,9600.0333,82,4.45,4.45,10.797,2.0618,2.0247,255,208,0,255,105
9721.1333,9720.0333,83,4.446,4.446,10.79,2.0615,2.0419,255,211,0,255,105
9841.1333,9840.0333,84,4.447,4.447,10.791,2.0621,2.0247,255,210,0,255,105
9961.1333,9960.0333,85,4.459,4.459,10.814,2.0623,2.0247,255,216,0,255,105
10081.1333,10080.0333,86,4.449,4.449,10.797,2.0619,2.0333,255,211,0,255,105
10201.1333,10200.0333,87,4.456,4.456,10.806,2.0627,2.0333,255,211,0,255,105
10321.1333,10320.0333,88,4.46,4.46,10.817,2.0619,2.0333,255,218,0,255,105
10441.1333,10440.0333,89,4.473,4.473,10.843,2.062,2.0333,255,212,0,255,105
10561.1333,10560.0333,90,4.466,4.466,10.83,2.0621,2.0333,255,211,0,255,105
10681.1333,10680.0333,91,4.461,4.461,10.819,2.0619,2.0333,255,211,0,255,105
10801.1333,10800.0333,92,4.459,4.459,10.815,2.0619,2.0162,255,210,0,255,105
10921.1333,10920.0333,93,4.434,4.434,10.766,2.0617,2.0247,255,233,0,255,105
11041.1333,11040.0333,94,4.461,4.461,10.822,2.0611,2.0247,255,218,0,255,105
11161.1333,11160.0333,95,4.45,4.45,10.799,2.0617,2.0247,255,215,0,255,105
11281.1333,11280.0333,96,4.448,4.448,10.794,2.0618,2.0247,255,209,0,255,105
11401.1333,11400.0333,97,4.452,4.452,10.802,2.0616,2.0247,255,210,0,255,105
11521.1333,11520.0333,98,4.465,4.465,10.827,2.0614,2.0505,255,217,0,255,105
11641.1333,11640.0333,99,4.445,4.445,10.789,2.0619,2.0505,255,217,0,255,105
11761.1333,11760.0333,100,4.453,4.453,10.804,2.0622,2.0162,255,212,0,255,105
11881.1333,11880.0333,101,4.459,4.459,10.818,2.0604,2.0162,255,218,0,255,105
12001.1333,12000.0333,102,4.46,4.46,10.816,2.0622,2.0247,255,216,0,255,105
12121.1333,12120.0333,103,4.451,4.451,10.799,2.0614,2.0247,255,215,0,255,105
12241.1333,12240.0333,104,4.451,4.451,10.8,2.0614,2.0247,255,213,0,255,105
12361.1333,12360.0333,105,4.444,4.444,10.786,2.0617,2.0247,255,212,0,255,105
12481.1333,12480.0333,106,4.446,4.446,10.789,2.062,2.0247,255,207,0,255,105
12601.1333,12600.0333,107,4.446,4.446,10.789,2.0614,2.0333,255,208,0,255,105
12721.1333,12720.0333,108,4.467,4.467,10.83,2.0621,2.0333,255,215,0,255,105
12841.1333,12840.0333,109,4.474,4.474,10.845,2.0618,2.0333,255,210,0,255,105
12961.1333,12960.0333,110,4.447,4.447,10.79,2.0625,2.0247,255,215,0,255,105
13081.1333,13080.0333,111,4.447,4.447,10.791,2.0618,2.0247,255,211,0,255,105
13201.1333,13200.0333,112,4.46,4.46,10.818,2.0616,2.0247,255,211,0,255,105
13321.1333,13320.0333,113,4.471,4.471,10.839,2.0623,2.0247,255,240,0,255,105
13441.1333,13440.0333,114,4.455,4.455,10.807,2.0616,2.0247,255,212,0,255,105
13561.1333,13560.0333,115,4.46,4.46,10.817,2.0622,2.0247,255,211,0,255,105
13681.1333,13680.0333,116,4.463,4.463,10.822,2.0623,2.0247,255,209,0,255,105
13801.1333,13800.0333,117,4.452,4.452,10.803,2.0613,2.0247,255,208,0,255,105
13921.1333,13920.0333,118,4.451,4.451,10.8,2.0621,2.0247,255,215,0,255,105
14041.1333,14040.0333,119,4.455,4.455,10.808,2.0618,2.0247,255,210,0,255,105
14161.1333,14160.0333,120,4.458,4.458,10.814,2.0619,2.0247,255,212,0,255,105
14281.1333,14280.0333,121,4.454,4.454,10.805,2.0624,2.0247,255,209,0,255,105
14401.1333,14400.0333,122,4.453,4.453,10.803,2.0623,2.0247,255,212,0,255,105
14521.1333,14520.0333,123,4.444,4.444,10.791,2.059,2.0247,255,205,0,255,105
14641.1333,14640.0333,124,4.458,4.458,10.813,2.0622,2.0247,255,207,0,255,105
14761.1333,14760.0333,125,4.455,4.455,10.809,2.0614,2.0247,255,206,0,255,105
14881.1333,14880.0333,126,4.457,4.457,10.812,2.0618,2.0247,255,208,0,255,105
15001.1333,15000.0333,127,4.443,4.443,10.784,2.0617,2.0247,255,212,0,255,105
15121.1333,15120.0333,128,4.461,4.461,10.819,2.0624,2.0247,255,209,0,255,105
15241.1333,15240.0333,129,4.466,4.466,10.829,2.062,2.0247,255,209,0,255,105
15361.1333,15360.0333,130,4.44,4.44,10.777,2.0619,2.0247,255,207,0,255,105
15481.1333,15480.0333,131,4.447,4.447,10.791,2.0618,2.0247,255,209,0,255,105
15601.1333,15600.0333,132,4.451,4.451,10.799,2.062,2.0247,255,208,0,255,105
15721.1333,15720.0333,133,4.458,4.458,10.813,2.062,2.0247,255,210,0,255,105
15841.1333,15840.0333,134,4.468,4.468,10.833,2.062,2.0333,255,237,0,255,105
15961.1333,15960.0333,135,4.463,4.463,10.824,2.0619,2.0247,255,213,0,255,105
16081.1333,16080.0333,136,4.446,4.446,10.789,2.0626,2.0247,255,210,0,255,105
16201.1333,16200.0333,137,4.449,4.449,10.796,2.0616,2.0247,255,212,0,255,105
16321.1333,16320.0333,138,4.446,4.446,10.79,2.062,2.0247,255,206,0,255,105
16441.1333,16440.0333,139,4.447,4.447,10.792,2.0621,2.0247,255,206,0,255,105
16561.1333,16560.0333,140,4.462,4.462,10.82,2.0627,2.0247,255,211,0,255,105
16681.1333,16680.0333,141,4.468,4.468,10.832,2.0618,2.0333,255,220,0,255,105
16801.1333,16800.0333,142,4.465,4.465,10.827,2.0621,2.0162,255,208,0,255,105
16921.1333,16920.0333,143,4.462,4.462,10.822,2.0619,2.0333,255,211,0,255,105
17041.1333,17040.0333,144,4.449,4.449,10.795,2.0618,2.0247,255,206,0,255,105
17161.1333,17160.0333,145,4.464,4.464,10.824,2.0618,2.0419,255,227,0,255,105
17281.1333,17280.0333,146,4.46,4.46,10.818,2.0617,2.0247,255,205,0,255,105
17401.1333,17400.0333,147,4.446,4.446,10.79,2.0618,2.0247,255,210,0,255,105
17521.1333,17520.0333,148,4.439,4.439,10.775,2.0621,2.0247,255,212,0,255,105
17641.1333,17640.0333,149,4.448,4.448,10.793,2.0622,2.0247,255,208,0,255,105
17761.1333,17760.0333,150,4.442,4.442,10.782,2.0626,2.0247,255,210,0,255,105
17881.1333,17880.0333,151,4.455,4.455,10.808,2.0615,2.0419,255,223,0,255,105
18001.1333,18000.0333,152,4.439,4.439,10.776,2.0623,2.0247,255,216,0,255,105
18121.1333,18120.0333,153,4.447,4.447,10.792,2.0619,2.0247,255,213,0,255,105
18241.1333,18240.0333,154,4.434,4.434,10.766,2.0618,2.0247,255,210,0,255,105
18361.1333,18360.0333,155,4.432,4.432,10.763,2.062,2.0247,255,222,0,255,105
18481.1333,18480.0333,156,4.457,4.457,10.812,2.0618,2.0333,255,210,0,255,105
18601.1333,18600.0333,157,4.457,4.457,10.812,2.0619,2.0247,255,216,0,255,105
18721.1333,18720.0333,158,4.462,4.462,10.82,2.0624,2.0247,255,220,0,255,105
18841.1333,18840.0333,159,4.445,4.445,10.787,2.0637,2.0247,255,214,0,255,105
18961.1333,18960.0333,160,4.454,4.454,10.807,2.0618,2.0247,255,215,0,255,105
19081.1333,19080.0333,161,4.444,4.444,10.784,2.0633,2.0247,255,211,0,255,105
