Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m],,,,,,,,,,,,,
24300.0333,394380,0.187654449,0.95603602,10.4,,,,,,,,,,,,,
24600.0333,394740,0.187654449,0.95603602,10.41,,,,,,,,,,,,,
24900.0333,394980,0.187654449,0.95603602,10.4,,,,,,,,,,,,,
25200.0333,395220,0.187654449,0.95603602,10.37,,,,,,,,,,,,,
25500.0333,395640,0.187654449,0.95603602,10.39,,,,,,,,,,,,,
25800.0333,395880,0.187654449,0.95603602,10.41,,,,,,,,,,,,,
26100.0333,396240,0.187654449,0.95603602,10.4,,,,,,,,,,,,,
26400.0333,396540,0.187654449,0.95603602,10.39,,,,,,,,,,,,,
26700.0333,396780,0.187654449,0.95603602,10.4,,,,,,,,,,,,,
27000.0333,397140,0.187654449,0.95603602,10.36,,,,,,,,,,,,,
27300.0333,397380,0.187646849,0.95603602,10.4,,,,,,,,,,,,,
27600.0333,397620,0.187626838,0.95603602,10.4,,,,,,,,,,,,,
27900.0333,398040,0.187622712,0.95603602,10.41,,,,,,,,,,,,,
28200.0333,398280,0.187622712,0.95603602,10.38,,,,,,,,,,,,,
28500.0333,398640,0.187622712,0.95603602,10.4,,,,,,,,,,,,,
28800.0333,398880,0.187622712,0.95603602,10.38,,,,,,,,,,,,,
29100.0333,399180,0.187622712,0.95603602,10.38,,,,,,,,,,,,,
29400.0333,399540,0.187622712,0.95603602,10.41,,,,,,,,,,,,,
29700.0333,399780,0.187622712,0.95603602,10.41,,,,,,,,,,,,,
30000.0333,400020,0.187622712,0.95603602,10.41,,,,,,,,,,,,,
30300.0333,400440,0.187622712,0.95603602,10.41,,,,,,,,,,,,,
30600.0333,400680,0.187622712,0.95603602,10.38,,,,,,,,,,,,,
30900.0333,401040,0.187622712,0.95603602,10.4,,,,,,,,,,,,,
31200.0333,401280,0.187622712,0.95603602,10.36,,,,,,,,,,,,,
31500.0333,401580,0.187622712,0.95603602,10.43,,,,,,,,,,,,,
31800.0333,401940,0.187622712,0.95603602,10.41,,,,,,,,,,,,,
32100.0333,402180,0.187622712,0.95603602,10.39,,,,,,,,,,,,,
32400.0333,402420,0.187622712,0.95603602,10.4,,,,,,,,,,,,,
32700.0333,402840,0.187622712,0.95603602,10.42,,,,,,,,,,,,,
33000.0333,403080,0.187622712,0.95603602,10.4,,,,,,,,,,,,,
33300.0333,403440,0.187622712,0.95603602,10.38,,,,,,,,,,,,,
33600.0333,403680,0.187622712,0.95603602,10.39,,,,,,,,,,,,,
33900.0333,403980,0.187622712,0.95603602,10.42,,,,,,,,,,,,,
34200.0333,404340,0.187622712,0.95603602,10.4,,,,,,,,,,,,,
34500.0333,404580,0.187622712,0.95603602,10.36,,,,,,,,,,,,,
34800.0333,404940,0.187617786,0.95603602,10.39,,,,,,,,,,,,,
35100.0333,405240,0.18759778,0.95603602,10.41,,,,,,,,,,,,,
35400.0333,405480,0.187590984,0.95603602,10.4,,,,,,,,,,,,,
35700.0333,405840,0.187590984,0.95603602,10.41,,,,,,,,,,,,,
36000.0333,406080,0.187590984,0.95603602,10.37,,,,,,,,,,,,,
36300.0333,406380,0.187590984,0.95603602,10.36,,,,,,,,,,,,,
36600.0333,406740,0.187572935,0.95603602,10.41,,,,,,,,,,,,,
36900.0333,406980,0.187559262,0.95603602,10.4,,,,,,,,,,,,,
37200.0333,407340,0.187559262,0.95603602,10.41,,,,,,,,,,,,,
37500.0333,407640,0.187559262,0.95603602,10.38,,,,,,,,,,,,,
37800.0333,407880,0.187559262,0.95603602,10.43,,,,,,,,,,,,,
