p set [kPa],date,time,zero [g],p actual [kPa],T [C],date dp,time dp start,time dp end
20,8/2/2019,10:04:34,5.63582,18.8,33.18,8/1/2019,18:07:00,18:18:00
150,8/2/2019,15:09:23,5.63408,153.39,30.64,8/2/2019,10:05:00,10:08:00
500,8/5/2019,13:42:41,5.62838,627.64,30.62,8/2/2019,15:10:00,15:14:00
1000,8/5/2019,18:32:17,5.62176,1001.71,30.48,8/5/2019,13:41:00,13:45:00
2000,8/6/2019,9:11:28,5.60279,1987.9,30.52,8/5/2019,18:33:00,18:38:00
3000,8/6/2019,14:05:15,5.58059,2984.1,30.44,8/6/2019,9:13:00,9:18:00
4000,8/6/2019,18:36:27,5.55447,3983.6,30.47,8/6/2019,14:05:00,14:11:00
5000,8/7/2019,9:08:27,5.52233,4977.0,30.51,8/6/2019,18:36:00,18:47:00
6100,8/7/2019,13:42:18,5.47115,6067.1,30.21,8/7/2019,9:14:00,9:26:00
5600,8/7/2019,18:24:36,5.49582,5611.4,30.37,8/7/2019,13:43:00,13:47:00
4500,8/8/2019,9:12:30,5.53856,4519.2,30.53,8/7/2019,18:27:00,18:31:00
3500,8/8/2019,13:12:25,5.56783,3510.2,30.44,8/8/2019,9:17:00,9:21:00
2500,8/8/2019,18:23:38,5.59204,2512.0,30.48,8/8/2019,13:13:00,13:18:00
1500,8/9/2019,9:33:57,5.61328,1506.62,30.49,8/8/2019,18:24:00,18:31:00
110,8/9/2019,16:12:29,5.63840,112.05,30.47,8/9/2019,9:35:00,12:42:00
